```markdown
| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 合併所持股權百分比 |
|------|--------------|------------|----------|---------------------|
| 49.  | ELTEK MEA DMCC、DELTA ELECTRONICS (NORWAY) AS | ELTEK WEST AFRICA LIMITED | 經營電源供應器之銷售業務 | 100.00 (註2) |
| 50.  | DELTA ELECTRONICS (NORWAY) AS | Eltek Italia S.r.l. | 經營電源供應器等之銷售業務 | 100.00 (註2) |
| 51.  | " | Delta Electronics (Sweden) AB | " | 100.00 (註1) |
| 52.  | " | DELTA ELECTRONICS (UK) LTD | " | 100.00 (註1) |
| 53.  | " | OOO Eltek | 經營電源供應器等之銷售業務及系統建置業務 | 100.00 (註1) |
| 54.  | DELTA Electronics (Germany) GmbH | DELTA Montage GmbH | 經營電源供應器之安裝及維修服務業務 | 100.00 (註1) |
| 55.  | DEIL-SG | ELTEK POWER INCORPORATED | 經營電源供應器等之銷售業務 | 100.00 (註2) |
| 56.  | " | ELTEK POWER CO., LTD. | " | 100.00 (註2) (註3) |
| 57.  | " | ELTEK POWER (CAMBODIA) LTD | " | 100.00 (註2) |
| 58.  | " | ELTEK POWER (MALAYSIA) SDN. BHD. | " | 100.00 (註2) (註4) |
| 59.  | DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (USA) INC. | 經營電源供應器等之製造及銷售業務 | 100.00 (註1) |
| 60.  | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (ARGENTINA) S.R.L. | 經營電源供應器等之銷售業務 | 100.00 (註1) (註2) |
| 61.  | DEN、DELTA ELECTRONICS (USA) INC. | ELTEK SISTEMAS DE ENERGIA INDUSTRIA E COMERCIO LTDA. | 經營電源供應器等之製造及銷售業務 | 100.00 (註1) (註2) |
```
