```markdown
# 台灣積體電路股份有限公司及子公司

## 合併財務報告

### 民國 111 年 3 月 31 日及 3 月 31 日

#### 單位：新台幣仟元

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1100 | 現金及約當現金（附註六） | $ 1,151,589,464 | 29 | $ 1,064,990,192 | 29 | $ 664,727,857 | 23 |
| 1110 | 透過損益按公允價值衡量之金融資產（附註七） | 758,452 | - | 159,048 | - | 26,897 | - |
| 1120 | 透過其他綜合損益按公允價值衡量之金融資產（附註八） | 120,995,765 | 3 | 119,519,251 | 3 | 125,208,307 | 4 |
| 1136 | 按攤銷後成本衡量之金融資產（附註九） | 8,425,286 | - | 3,773,571 | - | 6,694,422 | - |
| 1139 | 避險之金融資產（附註十） | 286,824 | - | 13,468 | - | 64,349 | - |
| 1170 | 應收票據及帳款淨額（附註十一） | 212,846,891 | 5 | 197,586,109 | 5 | 167,143,336 | 6 |
| 1180 | 應收關係人款項（附註三一） | 581,010 | - | 715,324 | - | 335,572 | - |
| 1210 | 其他應收關係人款項（附註三一） | 58,165 | - | 61,531 | - | 52,591 | - |
| 1310 | 存貨（附註十二） | 200,118,682 | 5 | 193,102,321 | 5 | 154,567,568 | 5 |
| 1476 | 其他金融資產（附註三二） | 16,243,656 | 1 | 16,630,611 | 1 | 15,131,465 | 1 |
| 1479 | 其他流動資產 | 10,333,155 | - | 10,521,481 | - | 5,834,459 | - |
| 11XX | 流動資產合計 | 1,722,237,632 | 43 | 1,607,072,907 | 43 | 1,139,786,823 | 39 |

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產（附註八） | 6,011,937 | - | 5,887,892 | - | 4,401,224 | - |
| 1535 | 按攤銷後成本衡量之金融資產（附註九） | 15,605,898 | - | 1,533,391 | - | 4,434,410 | - |
| 1550 | 採用權益法之投資（附註十三） | 24,119,008 | 1 | 21,963,418 | 1 | 20,294,816 | 1 |
| 1600 | 不動產、廠房及設備（附註十四） | 2,104,330,654 | 53 | 1,975,118,704 | 53 | 1,658,551,290 | 57 |
| 1755 | 使用權資產（附註十五） | 32,922,146 | 1 | 32,734,537 | 1 | 32,282,312 | 1 |
| 1780 | 無形資產（附註十六） | 25,620,051 | 1 | 26,821,697 | 1 | 25,012,688 | 1 |
| 1840 | 遞延所得稅資產（附註四） | 53,903,541 | 1 | 49,153,886 | 1 | 31,254,225 | 1 |
| 1920 | 存出保證金 | 4,073,354 | - | 2,624,854 | - | 1,193,924 | - |
| 1990 | 其他非流動資產 | 3,852,446 | - | 2,592,169 | - | 1,919,749 | - |
| 15XX | 非流動資產合計 | 2,270,439,035 | 57 | 2,118,430,548 | 57 | 1,779,344,638 | 61 |

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1XXXX | 資 產 總 計 | $ 3,992,676,667 | 100 | $ 3,725,503,455 | 100 | $ 2,919,131,461 | 100 |

### 負 債 及 權 益

#### 流動負債

| 代 碼 | 資 產 | 金 額 | % | 金 額 | % | 金 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 2100 | 短期借款（附註十七及二九） | $ 144,550,897 | 4 | $ 114,921,333 | 3 | $ 137,123,748 | 5 |
| 2120 | 透過損益按公允價值衡量之金融負債（附註七） | 2,203,138 | - | 681,914 | - | 1,958,208 | - |
| 2126 | 避險之金融負債（附註十） | - | - | 9,642 | - | - | - |
| 2170 | 應付帳款 | 48,653,183 | 1 | 47,285,603 | 1 | 36,653,115 | 1 |
| 2180 | 應付關係人款項（附註三一） | 1,450,
