```markdown
# 十四、不動產、廠房及設備

## 自用

| 成本 | 房屋及建築 | 機器設備 | 模具設備 | 試驗設備 | 運輸設備 | 辦公設備 | 租賃改良 | 其他設備 | 未完工程 | 合計 |
|------|------------|----------|----------|----------|----------|----------|----------|----------|----------|------|
| 112年1月1日餘額 | $ 406,064 | $ 2,312,530 | $ 551,435 | $ 616,569 | $ 41,596 | $ 248,592 | $ 519,008 | $ 383,566 | $ 418,613 | $ 5,497,973 |
| 增加 | 2,230 | 158,824 | 67,855 | 62,158 | 215 | 12,303 | 92,080 | 88,452 | 870,948 | 1,555,065 |
| 減少 | (2,496) | (24,375) | (43,937) | (3,828) | (2,155) | (10,008) | (808) | (6,311) | - | (94,118) |
| 重分類 | - | - | - | - | - | - | - | - | - | 1,928 |
| 淨兌換差額 | - | 24,203 | 1,159 | 652 | 141 | 1,070 | 5,966 | 6,116 | - | 39,037 |
| 112年9月30日餘額 | $ 405,798 | $ 2,470,982 | $ 576,512 | $ 675,212 | $ 40,136 | $ 251,957 | $ 616,246 | $ 473,751 | $ 1,289,561 | $ 6,800,155 |

## 累計折舊

| 成本 | 房屋及建築 | 機器設備 | 模具設備 | 試驗設備 | 運輸設備 | 辦公設備 | 租賃改良 | 其他設備 | 未完工程 | 合計 |
|------|------------|----------|----------|----------|----------|----------|----------|----------|----------|------|
| 112年1月1日餘額 | $ 257,382 | $ 1,671,286 | $ 383,486 | $ 488,340 | $ 33,105 | $ 174,202 | $ 387,649 | $ 268,105 | $ - | $ 3,693,555 |
| 增加 | 10,295 | 166,164 | 58,882 | 49,227 | 2,665 | 25,542 | 60,993 | 43,144 | - | 416,912 |
| 減少 | (2,343) | (18,215) | (43,892) | (3,828) | (2,155) | (9,489) | (767) | (3,660) | - | (84,349) |
| 淨兌換差額 | - | 20,731 | 1,047 | 350 | 96 | 927 | 4,225 | 3,899 | - | 31,275 |
| 112年9月30日餘額 | $ 295,334 | $ 1,839,966 | $ 399,523 | $ 534,089 | $ 33,711 | $ 191,182 | $ 452,100 | $ 311,458 | $ - | $ 4,057,393 |
| 112年9月30日淨額 | $ 110,464 | $ 631,016 | $ 176,989 | $ 141,123 | $ 6,425 | $ 60,775 | $ 164,136 | $ 128,263 | $ 1,289,561 | $ 2,742,762 |
| 111年12月31日及112年1月1日淨額 | $ 118,682 | $ 641,244 | $ 167,949 | $ 128,229 | $ 8,491 | $ 74,390 | $ 131,359 | $ 115,461 | $ 418,613 | $ 1,804,418 |

## 累計折舊

| 成本 | 房屋及建築 | 機器設備 | 模具設備 | 試驗設備 | 運輸設備 | 辦公設備 | 租賃改良 | 其他設備 | 未完工程 | 合計 |
|------|------------|----------|----------|----------|----------|----------|----------|----------|----------|------|
| 111年1月1日餘額 | $ 409,794 | $ 2,140,216 | $ 466,760 | $ 582,518 | $ 45,680 | $ 242,734 | $ 499,340 | $ 359,429 | $ - | $ 4,746,471 |
| 增加 | 6,146 | 173,504 | 54,543 | 27,909 | - | 9,240 | 16,315 | 24,371 | - | 312,028 |
| 減少 | - | (25,254) | (2,492) | (7,632) | (850) | (8,077) | (741) | (7,031) | - | (52,077) |
| 淨兌換差額 | - | 32,492 | 2,486 | 550 | 200 | 2,413 | 7,345 | 7,735 | - | 58,221 |
| 111年9月30日餘額 | $ 415,940 | $ 2,325,958 | $ 521,297 | $ 603,345 | $ 45,020 | $ 246,310 | $ 522,259 | $ 384,504 | $ - | $ 5,064,643 |

## 累計折舊

| 成本 | 房屋及建築 | 機器設備 | 模具設備 | 試驗設備 | 運輸設備 | 辦公設備 | 租賃改良 | 其他設備 | 未完工程 | 合計 |
|------|------------|----------|----------|----------|----------|----------|----------|----------|----------|------|
| 111年1月1日餘額 | $ 284,526 | $ 1,507,795 | $ 315,971 | $ 433,368 | $ 33,119 | $
