```markdown
| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 合併所持股權百分比 |
|------|--------------|------------|----------|---------------------|
| 24.  | DHK          | 達而泰(天津)實業有限公司(達而泰) | 經營電壓控制器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 (註1) (註2) |
| 25.  | "           | 台達電子(平潭)有限公司(台達電子平潭) | 電子產品、節能設備批發銷售等 | 100.00 100.00 100.00 (註1) (註2) |
| 26.  | DEJ          | Addtron Technology (Japan), Inc. (AT Japan) | 電腦網路及週邊設備之買賣 | 100.00 100.00 100.00 (註2) |
| 27.  | "           | Delta Electronics (Korea), Inc. (Delta Korea) | 經營電源、視訊、零組件、機電等產品及材料之買賣 | 100.00 100.00 100.00 (註2) |
| 28.  | 台達電子郴州 | 郴州台達科技有限公司(郴州台達科技) | 經營變壓器等電子產品之製造及銷售業務 | 100.00 100.00 100.00 |
| 29.  | DNH          | Delta Networks, Inc. (DNI Cayman) | 投資事業 | 100.00 100.00 100.00 |
| 30.  | DNI Cayman   | Delta Networks (HK) Limited (DNHK) | " | 100.00 100.00 100.00 |
| 31.  | DHK/DHK、DNHK | 達創科技(東莞)有限公司(達創東莞) | 其他無線電廣播接收器及寬頻接入網通信系統設備等產品製造及銷售業務 | 100.00 100.00 100.00 (註7) |
| 32.  | 乾坤        | Fairview Assets Ltd. (Fairview) | 投資事業 | 100.00 100.00 100.00 |
| 33.  | Fairview     | Grandview Holding Ltd. (Grandview) | " | 100.00 100.00 100.00 |
| 34.  | Grandview    | CYNTEC HOLDING (HK) LIMITED (CHK) | " | 100.00 100.00 100.00 |
| 35.  | "           | Cyntec International Ltd. (CIL-Labuan) | 貿易業 | - 100.00 100.00 (註18) |
| 36.  | DHK/CHK     | 吳江華豐電子科技有限公司(華豐) | 技術服務、技術開發、技術諮詢、技術交流、技術轉讓、技術推廣，電子元器件製造，電子元器件批發，電子元器件零售，模具製造，模具銷售，鍛件及粉末冶金製品銷售 | 100.00 100.00 100.00 (註12) |
```
