```markdown
# (九) 不動產、廠房及設備

|  | 土地 | 房屋及建築 | 機器設備 | 試驗設備 | 其他 | 及待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 111年1月1日 | $15,139,283 | $51,485,311 | $52,261,356 | $19,872,926 | $21,356,997 | $8,264,905 | $168,380,778 |
| 成本 | | | | | | | |
| 累計折舊及減損 | (10,395) | (23,378,205) | (35,386,205) | (15,840,483) | (17,158,205) | | (91,773,493) |
| | $15,128,888 | $28,107,106 | $16,875,151 | $4,032,443 | $4,198,792 | $8,264,905 | $76,607,285 |
| 111年 | | | | | | | |
| 期初餘額 | $15,128,888 | $28,107,106 | $16,875,151 | $4,032,443 | $4,198,792 | $8,264,905 | $76,607,285 |
| 增添 | - | 205,767 | 1,221,802 | 656,472 | 494,529 | 1,554,389 | 4,132,959 |
| 處分 | - | - | (30,288) | (5,033) | (11,991) | - | (47,312) |
| 移轉(註) | 98,395 | 192,919 | 1,104,403 | 120,900 | 129,119 | (1,325,185) | 320,551 |
| 折舊費用 | - | (528,748) | (1,680,436) | (582,413) | (602,247) | - | (3,393,844) |
| 匯率影響數 | 129,891 | 508,858 | 524,089 | 65,957 | 113,795 | 181,388 | 1,523,978 |
| 期末餘額 | $15,357,174 | $28,485,902 | $18,014,721 | $4,288,326 | $4,321,997 | $8,675,497 | $79,143,617 |

|  | 土地 | 房屋及建築 | 機器設備 | 試驗設備 | 其他 | 及待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 111年3月31日 | $15,367,336 | $52,945,347 | $55,702,985 | $21,007,840 | $22,333,891 | $8,675,497 | $176,032,896 |
| 成本 | | | | | | | |
| 累計折舊及減損 | (10,162) | (24,459,445) | (37,688,264) | (16,719,514) | (18,011,894) | | (96,889,279) |
| | $15,357,174 | $28,485,902 | $18,014,721 | $4,288,326 | $4,321,997 | $8,675,497 | $79,143,617 |

**註:** 本公司於民國 110 年 10 月 1 日經董事會決議處分電芯組裝設備一批，並將帳列之設備$320,551，按帳面價值與公允價值減出售成本孰低者轉列待出售非流動資產，惟於民國 111 年 3 月 31 日本公司與買方雙方合意終止處分設備合約，因此自待出售非流動資產迴轉。
```
