```markdown
| 編號 | 投資公司名稱 | 子公司名稱 | 業務性質 | 合併所持股權百分比 |
|------|--------------|------------|----------|---------------------|
| 128. | March Networks Corporation | March Networks (Singapore) Pte. Limited | 安全監控軟硬體和相關工程服務 | 100.00 100.00 100.00 (註1) (註2) |
| 129. | " | March Networks B.V. | " | 100.00 100.00 100.00 (註1) (註2) |
| 130. | March Networks B.V. | March Networks S.r.l. | " | 100.00 100.00 100.00 (註1) (註2) |
| 131. | " | March Networks (France) SAS | " | 100.00 100.00 100.00 (註1) (註2) |
| 132. | DHK | 台達電子(重慶)有限公司 | 生產新能源汽車電子零件及電子設備電源零件 | 100.00 100.00 100.00 (註1) (註2) (註8) |
| 133. | 台達電子工業股份有限公司 | 達慧互聯股份有限公司 (達慧) | 提供行業應用加 | 70.00 70.00 70.00 (註1) (註2) (註8) |
| 134. | 台達電子工業股份有限公司、台達資本 | 碳基半導體股份有限公司 (碳基) | 氮化鎵技術與解決方案 | 74.28 74.28 79.15 (註1) (註2) (註8) |
| 135. | DIH | UI Acquisition Holding Co. | 投資事業 | 100.00 100.00 100.00 (註1) (註2) (註8) |
| 136. | UI Acquisition Holding Co. | UI Holding Co. | " | 100.00 100.00 100.00 (註1) (註2) (註8) |
| 137. | UI Holding Co. | Universal Instruments Corporation | 自動化設備解決方案 | 100.00 100.00 100.00 (註1) (註2) (註8) |
| 138. | " | Hover-Davis, Inc. | " | 100.00 100.00 100.00 (註1) (註2) (註8) |
| 139. | UI Acquisition Holding Co.、UI Holding Co. | UI European Holdco. Cooperatief U.A. | 投資事業 | 100.00 100.00 100.00 (註1) (註2) (註8) |
| 140. | UI European Holdco. Cooperatief U.A. | 環球儀器(香港)有限公司 | 自動化設備解決方案 | 100.00 100.00 100.00 (註1) (註2) (註8) |
| 141. | " | Universal Instruments s.r.o. | " | 100.00 100.00 100.00 (註1) (註2) (註8) |
| 142. | " | 環儀精密設備製造(深圳)有限公司 | " | 100.00 100.00 100.00 (註1) (註2) (註8) |
```
