### 流動資產

1100 現金及約當現金：六(一)：$ 214,864,398；%：28；110年12月31日：$ 107,792,396；%：18；111年3月31日：$ 62,716,849；%：16

1110 透過損益按公允價值衡量之金融資產－流動：46,836；%：-；110年12月31日：44,999；%：-；111年3月31日：290；%：-

1136 按攤銷後成本衡量之金融資產－流動：六(三)及八：102,935,263；%：14；110年12月31日：93,229,679；%：15；111年3月31日：16,321,547；%：4

1139 避險之金融資產－流動：六(四)：15,820,050；%：2；110年12月31日：23,026,075；%：4；111年3月31日：-；%：-

1140 合約資產－流動：六(二十三)：3,664,425；%：1；110年12月31日：4,525,961；%：1；111年3月31日：3,796,912；%：1

1150 應收票據淨額：六(五)：340,106；%：-；110年12月31日：357,461；%：-；111年3月31日：147,023；%：-

1170 應收帳款淨額：六(五)：48,414,873；%：6；110年12月31日：39,179,692；%：6；111年3月31日：27,797,973；%：7

1180 應收帳款－關係人淨額：六(五)及七：2,204,377；%：-；110年12月31日：2,000,706；%：-；111年3月31日：1,274,844；%：1

1200 其他應收款：403,133；%：-；110年12月31日：414,772；%：-；111年3月31日：136,308；%：-

1210 其他應收款－關係人：七：1,284,626；%：-；110年12月31日：716,166；%：-；111年3月31日：734,369；%：-

1220 本期所得稅資產：247,845；%：-；110年12月31日：231,233；%：-；111年3月31日：208,096；%：-

130X 存貨：六(六)：7,562,640；%：1；110年12月31日：5,837,528；%：1；111年3月31日：4,439,277；%：1

1410 預付款項：1,991,506；%：-；110年12月31日：1,503,356；%：-；111年3月31日：1,708,513；%：1

1470 其他流動資產：六(七)及七：3,683,116；%：1；110年12月31日：4,254,969；%：1；111年3月31日：4,143,088；%：1

11XX 流動資產合計：403,463,194；%：53；110年12月31日：283,114,993；%：46；111年3月31日：123,425,089；%：32

### 非流動資產

1517 透過其他綜合損益按公允價值衡量之金融資產－非流動：六(二)：2,264,720；%：-；110年12月31日：2,123,381；%：1；111年3月31日：1,785,252；%：1

1535 按攤銷後成本衡量之金融資產－非流動：六(三)及八：573,053；%：-；110年12月31日：387,519；%：-；111年3月31日：355,976；%：-

1538 避險之金融資產－非流動：六(四)：511,303；%：-；110年12月31日：1,488,664；%：-；111年3月31日：-；%：-

1550 採用權益法之投資：六(八)：38,743,870；%：5；110年12月31日：36,418,613；%：6；111年3月31日：30,928,496；%：8

1600 不動產、廠房及設備：六(九)、八及九：174,740,032；%：23；110年12月31日：153,902,875；%：25；111年3月31日：124,442,839；%：32

1755 使用權資產：六(十)：102,535,743；%：14；110年12月31日：101,109,020；%：17；111年3月31日：86,740,560；%：22

1760 投資性不動產淨額：六(十二)及八：7,534,133；%：1；110年12月31日：5,771,084；%：1；111年3月31日：5,196,660；%：1

1780 無形資產：1,272,322；%：-；110年12月31日：1,271,120；%：-；111年3月31日：1,508,564；%：-

1840 遞延所得稅資產：六(三十一)：860,610；%：-；110年12月31日：857,248；%：-；111年3月31日：656,293；%：-

1900 其他非流動資產：六(五)(十三)：25,391,963；%：4；110年12月31日：24,581,603；%：4；111年3月31日：16,029,282；%：4

15XX 非流動資產合計：3
