### 研華股份有限公司及子公司
#### 合併綜合損益表
民國112年及111年1月1日至3月31日
（僅經核閱，未依審計準則查覈）

單位：新臺幣仟元
（除每股盈餘為新臺幣元外）

| 項目 | 附註 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
| --- | --- | --- | --- |
| 4000 | 營業收入 | $17,395,607 | $16,119,517 |
| 5000 | 營業成本 | (10,484,627) | (9,962,306) |
| 5950 | 營業毛利淨額 | 6,910,980 | 6,157,211 |
| 6100 | 推銷費用 | (1,429,958) | (1,307,670) |
| 6200 | 管理費用 | (818,406) | (701,599) |
| 6300 | 研究發展費用 | (1,170,151) | (1,122,758) |
| 6450 | 預期信用減損利益(損失) | 9,037 | (10,509) |
| 6000 | 營業費用合計 | (3,409,478) | (3,142,536) |
| 6900 | 營業利益 | 3,501,502 | 3,014,675 |
| 營業外收入及支出 |  |  |  |
| 7100 | 利息收入 | 40,820 | 4,784 |
| 7010 | 其他收入 | 35,571 | 37,765 |
| 7020 | 其他利益及損失 | 88,500 | 86,934 |
| 7050 | 財務成本 | (11,212) | (4,535) |
| 7060 | 採用權益法認列之關聯企業及合資損益之份額 | 24,949 | 29,948 |
| 7000 | 營業外收入及支出合計 | 178,628 | 154,896 |
| 7900 | 稅前淨利 | 3,680,130 | 3,169,571 |
| 7950 | 所得稅費用 | (725,454) | (601,536) |
| 8200 | 本期淨利 | $2,954,676 | $2,568,035 |

（續次頁）
