### 本集團除電信業務及專案業務以外之應收款項有限，故僅就中華電信公司前述業務依準備矩陣衡量應收票據及帳款之備抵損失情形，予以說明如下：

#### 112年3月31日

|  | 未逾期 | 逾期30天以下 | 逾期31~60天 | 逾期61~90天 | 逾期91~120天 | 逾期121~180天 | 逾期180天以上 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 電信業務 | $15,877,741 | $360,047 | $161,855 | $130,047 | $48,799 | $37,404 | $609,373 | $17,225,266 |
| 備抵損失（存續期間預期信用損失） | $58,227 | $44,535 | $53,277 | $22,667 | $22,249 | $33,722 | $609,373 | $844,050 |
| 撥銷後成本 | $15,819,514 | $315,512 | $108,578 | $107,380 | $26,550 | $3,682 | $- | $16,381,216 |

| 專案業務 | $2,205,320 | $49,109 | $29,021 | $19,307 | $696 | $80 | $313,122 | $2,617,198 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 備抵損失（存續期間預期信用損失） | $2,026 | $3,165 | $2,902 | $6,414 | $348 | $499 | $313,122 | $328,476 |
| 撥銷後成本 | $2,203,294 | $45,944 | $26,119 | $12,893 | $348 | $124 | $- | $2,288,722 |

#### 111年12月31日

|  | 未逾期 | 逾期30天以下 | 逾期31~60天 | 逾期61~90天 | 逾期91~120天 | 逾期121~180天 | 逾期180天以上 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 電信業務 | $17,162,634 | $310,392 | $86,500 | $32,826 | $27,774 | $34,127 | $599,316 | $18,253,569 |
| 備抵損失（存續期間預期信用損失） | $49,644 | $22,309 | $19,806 | $20,927 | $20,085 | $29,244 | $599,316 | $761,331 |
| 撥銷後成本 | $17,112,990 | $288,083 | $66,694 | $11,899 | $7,689 | $4,883 | $- | $17,492,238 |

| 專案業務 | $3,797,905 | $119,329 | $11,424 | $53,189 | $1,360 | $80 | $547,269 | $4,531,261 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 備抵損失（存續期間預期信用損失） | $2,604 | $6,138 | $1,142 | $15,986 | $680 | $628 | $547,269 | $574,447 |
| 撥銷後成本 | $3,795,301 | $113,191 | $10,282 | $37,203 | $680 | $157 | $- | $3,956,814 |

#### 111年3月31日

|  | 未逾期 | 逾期30天以下 | 逾期31~60天 | 逾期61~90天 | 逾期91~120天 | 逾期121~180天 | 逾期180天以上 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 電信業務 | $15,695,361 | $307,656 | $102,985 | $40,670 | $29,179 | $29,192 | $605,564 | $16,810,607 |
| 備抵損失（存續期間預期信用損失） | $50,967 | $46,549 | $21,000 | $20,768 | $23,508 | $26,964 | $605,564 | $795,320 |
| 撥銷後成本 | $15,644,394 | $261,107 | $81,985 | $19,902 | $5,671 | $2,228 | $- | $16,015,287 |

| 專案業務 | $1,919,824 | $26,885 | $22,284 | $143,256 | $293 | $223 | $579,337 | $2,692,102 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 備抵損失（存續期間預期信用損失） | $2,520 | $1,698 | $5,340 | $42,977 | $151 | $200 | $579,337 | $632,223 |
| 撥銷後成本 | $1,917,304 | $25,187 | $16,944 | $100,279 | $142 | $23 | $- | $2,059,879 |

### 註1：電信業務收入之細分請詳附註四三，不同業務收入適用之預期信用損失率各異，以反映歷史經驗等因素顯示之風險程度。

### 註2：專案業務依客戶類別具不同損失型態，表列係一般客戶適用之預期信用損失率；客戶為政府關係個體時，預計將不致有信用損失發生；曾發生跳換票或應收款項逾期超過6個月以上轉列高風險
