中國鋼鐵股份有限公司及子公司
合併綜合損益表

民國 111 及 110 年 7 月 1 日至 9 月 30 日
暨民國 111 及 110 年 1 月 1 日至 9 月 30 日
（僅經核閱，未依一般公認審計準則查核）

單位：新台幣千元，惟
每股盈餘為元

| 代碼 | 金額 | % | 金額 | % | 金額 | % | 金額 | % |
|------|------|---|------|---|------|---|------|---|
| 4000 | 營業收入（附註二十四、三十及三十五） | $105,340,451 | 100 | $125,578,297 | 100 | $354,190,284 | 100 | $338,847,921 | 100 |
| 5000 | 營業成本（附註十一、二十五及三十） | 103,155,756 | 98 | 96,943,844 | 77 | 318,921,751 | 90 | 269,602,381 | 80 |
| 5900 | 營業毛利 | 2,184,695 | 2 | 28,634,453 | 23 | 35,268,533 | 10 | 69,245,540 | 20 |
| 6100 | 營業費用 | 1,076,304 | 1 | 1,257,689 | 1 | 3,407,000 | 1 | 3,678,856 | 1 |
| 6200 | 管理費用 | 1,643,326 | 2 | 1,895,081 | 2 | 5,007,365 | 2 | 5,565,345 | 2 |
| 6300 | 研究發展費用 | 467,292 | - | 624,048 | - | 1,614,016 | - | 1,775,951 | - |
| 6450 | 預期信用減損損失（迴轉利益） | (6,306) | - | 2,434 | - | (3,592) | - | 123,034 | - |
| 6000 | 營業費用合計 | 3,180,616 | 3 | 3,779,252 | 3 | 10,024,789 | 3 | 11,143,186 | 3 |
| 6900 | 營業利益（損失） | (995,921) | (1) | 24,855,201 | 20 | 25,243,744 | 7 | 58,102,354 | 17 |
| 7100 | 營業外收入及支出 | 109,072 | - | 54,971 | - | 236,441 | - | 174,783 | - |
| 7010 | 其他收入（附註二十五及三十） | 776,821 | 1 | 1,406,847 | 1 | 2,831,158 | 1 | 3,294,187 | 1 |
| 7020 | 其他利益及損失（附註二十五） | 1,810,393 | 2 | 101,037 | - | 2,336,877 | 1 | 600,385 | - |
| 7050 | 財務成本（附註二十五） | (680,685) | (1) | (426,527) | - | (1,595,626) | - | (1,357,188) | - |
| 7060 | 採用權益法認列之關聯企業損益份額 | 526,611 | - | 740,073 | - | 1,395,726 | - | 1,118,452 | - |
| 7000 | 營業外收入及支出合計 | 2,542,212 | 2 | 1,876,401 | 1 | 5,204,576 | 2 | 3,830,619 | 1 |
| 7900 | 稅前淨利 | 1,546,291 | 1 | 26,731,602 | 21 | 30,448,320 | 9 | 61,932,973 | 18 |
| 7950 | 所得稅費用（附註四及二十 | 294,175 | - | 5,511,295 | 4 | 6,459,388 | 2 | 11,807,856 | 3 |
| 8200 | 本期淨利 | 1,252,116 | 1 | 21,220,307 | 17 | 23,988,932 | 7 | 50,125,117 | 15 |
| 8310 | 不重分類至損益之項目 | - | - | - | - | - | - | (91) | - |
| 8311 | 確定福利計畫之再衡量數 | - | - | - | - | - | - | - | - |
| 8316 | 透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益 | (1,259,588) | (1) | 2,463,420 | 2 | (2,130,702) | (1) | 3,143,875 | 1 |
| 8317 | 避險工具之損益 | 236,104 | - | 10,448 | - | 1,096,552 | - | 41,280 | - |
| 8320 | 採用權益法之關聯企業之其他綜合損益之份額 | 15,043 | - | 9,141 | - | (8,983) | - | 58,789 | - |
| 8349 | 與不重分類之項目相關之所得稅利益（費用） | (54,715) | - | 92,199 | - | 39,951 | - | 236,217 | - |
| 8360 | 後續可能重分類至損益之項目 | - | - | - | - | - | - | - | - |
| 8361 | 國外營運機構財務報表換算之兌換差額 | 2,406,700 | 2 | (807,011) | - | 4,491,196 | 1 | (2,027,496) | (1) |
| 8367 | 透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益 | 66 | - | 858 | - | (134) | - | (69) | - |
| 8368 | 避險工具之損益 | 10,876 | - | - | - | 69,778 | - | - | - |
