(二十一)長期借款

| 貸 款 機 構 | 借款期間 | 利率區間 | 擔保品 | 112年9月30日 |
|---|---|---|---|---|
| 長期借款 | | | | |
| 日商瑞穗實業銀行等18家銀行聯貸 | 108.03.19~113.03.19 | 6.1885%~6.2385% | 無 | $ 18,555,250 |
| 日商瑞穗實業銀行等3家銀行聯貸 | 109.11.21~114.11.28 | 4.3230% | " | 339,100 |
| 第一商業銀行 | 100.11.30~119.11.30 | 2.0719% | 有 | 1,662,857 |
| 第一商業銀行 | 102.09.06~122.09.06 | 2.2833% | " | 882,581 |
| 上海商業儲蓄銀行 | 110.06.25~114.06.24 | 2.2450% | 無 | 257,500 |
| 中國農業銀行 | 107.01.05~116.05.22 | 4.9000% | " | 1,669,581 |
| 中國信託商業銀行等12家銀行聯貸 | 109.10.29~113.12.26 | 2.2133% | " | 596,070 |
| 玉山商業銀行 | 110.12.20~113.09.20 | 6.6200% | " | 258,160 |
| 中國工商銀行新加坡分行 | 110.02.04~112.11.24 | 6.7500% | " | 19,362,000 |
| 台新國際商業銀行等12家銀行聯貸 | 110.12.27~115.12.27 | 2.9533%~3.0590% | " | 2,758,500 |
| 台新國際商業銀行等12家銀行聯貸 | 110.12.27~115.12.27 | 3.0590% | 有 | 1,350,000 |
| 台新國際商業銀行等12家銀行聯貸 | 112.03.27~115.12.27 | 3.0590% | 無 | 1,291,500 |
| 三菱日聯銀行 | 110.12.20~113.12.20 | 6.5900% | " | 903,560 |
| 中國銀行 | 111.01.24~121.01.24 | 3.6000% | " | 1,992,119 |
| 中國銀行 | 111.05.25~114.03.17 | 6.5500% | " | 16,135,000 |
| 中國工商銀行新加坡分行 | 112.04.12~114.11.07 | 6.3947% | " | 16,135,000 |
| OLDENBURGISCHE LANDESBANK | 109.11.02~113.12.31 | 7.5000% | " | 37,089 |
| BANCO SANTANDER, S.A. | 110.09.20~113.09.19 | 1.2600% | " | 1,677 |
| FULLYFUN INVESTMENT LIMITED | 112.06.24~113.12.24 | 0.0000% | " | 6,401 |
| BANC OF AMERICA LEASING & CAPITAL, LLC | 111.12.27~119.12.27 | 5.3720% | " | 4,466,716 |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | | | |
| | | |
