# 财务报告分析

## 财务数据提取

### 文本数据

- **报告标题**：联华电子股份有限公司及子公司合并财务报表
- **报告日期**：民国111年1月至111年3月31日
- **报告类型**：合并财务报表
- **报告单位**：新台币千元为单位
- **报告负责人**：
  - **董事长**：洪嘉聪
  - **经理人**：簡山傑、王石
  - **会计主管**：劉殷東

### 表格数据

#### 股东权益变动表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 普通股股本 | $ 125,047,490 | $ 125,047,490 | $ 125,047,490 |
| 资本公积 | $ 12,975,706 | $ 12,975,706 | $ 12,975,706 |
| 法定盈余公积 | $ 21,566,986 | $ 21,566,986 | $ 21,566,986 |
| 特别盈余公积 | $ 4,914,214 | $ 4,914,214 | $ 4,914,214 |
| 未分配盈余 | $ 191,669,715 | $ 191,669,715 | $ 191,669,715 |
| 之兑换差额 | $ 7,615,378 | $ 7,615,378 | $ 7,615,378 |
| 实现评价（损）益 | $ 8,189,022 | $ 8,189,022 | $ 8,189,022 |
| 员工未赚得酬劳 | $ 1,542,119 | $ 1,542,119 | $ 1,542,119 |
| 总计 | $ 355,205,636 | $ 355,205,636 | $ 355,205,636 |
| 非控制权益 | $ 344,427 | $ 344,427 | $ 344,427 |
| 权益总额 | $ 355,550,063 | $ 355,550,063 | $ 355,550,063 |

#### 股东权益变动表（续）

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 普通股股本 | $ 124,832,476 | $ 124,832,476 | $ 124,832,476 |
| 资本公积 | $ 47,898,093 | $ 47,898,093 | $ 47,898,093 |
| 法定盈余公积 | $ 15,734,416 | $ 15,734,416 | $ 15,734,416 |
| 特别盈余公积 | $ 8,164,648 | $ 8,164,648 | $ 8,164,648 |
| 未分配盈余 | $ 11,715,333 | $ 11,715,333 | $ 11,715,333 |
| 之兑换差额 | $ 2,212,441 | $ 2,212,441 | $ 2,212,441 |
| 实现评价（损）益 | $ 280,825,860 | $ 280,825,860 | $ 280,825,860 |
| 员工未赚得酬劳 | $ 157,092 | $ 157,092 | $ 157,092 |
| 总计 | $ 280,982,952 | $ 280,982,952 | $ 280,982,952 |
| 非控制权益 | $ 20,065,623 | $ 20,065,623 | $ 20,065,623 |
| 权益总额 | $ 300,048,575 | $ 300,048,575 | $ 300,048,575 |

#### 股东权益变动表（续）

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 普通股股本 | $ 124,821,235 | $ 124,821,235 | $ 124,821,235 |
| 资本公积 | $ 47,467,666 | $ 47,467,666 | $ 47,467,666 |
| 法定盈余公积 | $ 15,734,416 | $ 15,734,416 | $ 15,734,416 |
| 特别盈余公积 | $ 8,164,648 | $ 8,164,648 | $ 8,164,648 |
| 未分配盈余 | $ 12,752,970 | $ 12,752,970 | $ 12,752,970 |
| 之兑换差额 | $ 1,835,182 | $ 1,835,182 | $ 1,835,182 |
| 实现评价（损）益 | $ 301,990,838 | $ 301,990,838 | $ 301,990,838 |
| 员工未赚得酬劳 | $ 294,269 | $ 294,269 | $ 294,269 |
| 总计 | $ 302,285,107 | $ 302,285,107 | $ 302,285,107 |
| 非控制权益 | $ 16,384,547 | $ 16,384,547 | $ 16,384,547 |
| 权益总额 | $ 318,669,654 | $ 318,669,654 | $ 318,669,654 |

#### 股东权益变动表（续）

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 普通股股本 | $ 125,047,490 | $ 125,047,490 | $ 125,047,490 |
| 资本公积 | $ 12,975,706 | $ 12,975,706 | $ 12,975,706 |
| 法定盈余公积 | $ 21,566,986 | $ 21,566,986 | $ 21,566,986 |
| 特别盈余公积 | $ 4,914,214 | $ 4
