### 财务报告

#### 1. 本集团承作未适用避险会计之衍生工具交易及合约资讯说明如下：

#### 111年9月30日

| 项目 | 金融资产 | 金融负债 | 契约期间 |
|------|----------|----------|----------|
| 流动项目： | | | |
| 汇兑换利合约 | USD(BUY) | 4,140,000 | 111.02.08~112.08.24 |
| 汇兑换利合约 | TWD(SELL) | 123,475,000 | 111.02.08~112.08.24 |
| 远期外汇合约 | USD(BUY) | 939,000 | 111.09.07~111.11.04 |
| 远期外汇合约 | RMB(BUY) | 3,042,507 | 111.09.30~111.12.26 |
| 远期外汇合约 | USD(SELL) | 427,000 | 111.09.30~111.12.26 |
| 远期外汇合约 | JPY(SELL) | 7,098,250 | 111.09.22~111.10.26 |
| 远期外汇合约 | BRL(SELL) | 1,853,432 | 111.09.13~111.10.31 |
| 远期外汇合约 | INR(SELL) | 16,198,650 | 111.09.07~111.10.17 |
| 远期外汇合约 | KRW(SELL) | 69,247,500 | 111.09.07~111.10.07 |
| 远期外汇合约 | TWD(SELL) | 9,078,807 | 111.09.20~111.11.04 |
| 非流动项目： | | | |
| 汇兑换利合约 | USD(BUY) | 400,000 | 105.09.13~115.09.24 |
| 汇兑换利合约 | JPY(SELL) | 41,064,000 | 105.09.13~115.09.24 |
| 合约金额 | 金融负债 | (名目本金)(仟元) | 契约期间 |
|------|----------|----------|----------|
| 流动项目： | | | |
| 汇兑换利合约 | JPY(BUY) | 20,000,000 | 111.06.17~111.12.28 |
| 汇兑换利合约 | TWD(SELL) | 4,495,000 | 111.06.17~111.12.28 |
| 远期外汇合约 | USD(BUY) | 264,803 | 111.04.11~111.12.23 |
| 远期外汇合约 | JPY(BUY) | 19,894,000 | 111.09.13~111.10.17 |
| 远期外汇合约 | KRW(BUY) | 641,582,916 | 111.09.14~111.11.01 |
| 远期外汇合约 | MXN(BUY) | 2,664,137 | 111.08.25~111.10.28 |
| 远期外汇合约 | RMB(BUY) | 12,413,766 | 111.07.01~111.12.05 |
| 远期外汇合约 | THB(BUY) | 1,492,320 | 111.09.22~111.10.26 |
| 远期外汇合约 | USD(SELL) | 2,568,645 | 111.07.01~111.12.05 |
| 远期外汇合约 | MXN(SELL) | 304,150 | 111.04.11~111.12.23 |
| 远期外汇合约 | RMB(SELL) | 715,460 | 111.09.27~111.10.27 |
| 远期外汇合约 | TWD(SELL) | 4,780,500 | 111.09.26~111.10.28 |

#### 111年1月1日至9月30日

| 项目 | 金融资产 | 金融负债 | 契约期间 |
|------|----------|----------|----------|
| 流动项目： | | | |
| 汇兑换利合约 | USD(BUY) | 1,845,735 | 111.01.01~111.09.30 |
| 汇兑换利合约 | TWD(SELL) | 27,870 | - |
| 远期外汇合约 | USD(BUY) | 14,299,467 | 111.01.01~111.09.30 |
| 远期外汇合约 | JPY(SELL) | 9,183,306 | 111.01.01~111.09.30 |
| 合约金额 | 金融负债 | (名目本金)(仟元) | 契约期间 |
|------|----------|----------|----------|
| 流动项目： | | | |
| 汇兑换利合约 | JPY(BUY) | 248,701 | 110.01.01~110.09.30 |
| 汇兑换利合约 | TWD(SELL) | - | - |
| 远期外汇合约 | USD(BUY) | 6,832,384 | 110.01.01~110.09.30 |
| 远期外汇合约 | JPY(SELL) | 829,686 | 110.01.01~110.09.30 |

#### 110年1月1日至9月30日

| 项目 | 金融资产 | 金融负债 | 契约期间 |
|------|----------|----------|----------|
| 流动项目： | | | |
| 汇兑换利合约 | USD(BUY) | 248,701 | 110.01.01~110.09.30 |
| 汇兑换利合约 | TWD(SELL) | - | - |
| 远期外汇合约 | USD(BUY) | 6,832,384 | 110.01.01~110.09.30 |
| 远期外汇合约 | JPY(SELL) | 829,686 | 110.01.01~110.09.30 |

#### 3. 本集团承作未适用避险会计之衍生工具交易及合约资讯说明如下：

- 本集团承作未适用避险会计之衍生工具交易及合约资讯说明如下：

#### 111年9月30日

| 项目 | 金融资产 | 金融负债 | 契约期间 |
|------|----------|----------|----------|
| 流动项目： | | | |
| 汇兑换利合约 | USD(BUY) | 4,140,000 | 111.02.08~112.08.24 |
| 汇兑换利合约 | TWD(SELL) | 123,475,000 | 111.02.08~112.08.24 |
| 远期外汇合约 | USD(BUY) | 939,000 | 111.09
