### 财务报告

#### 合并损益表
**单位：新台币仟元**
**（除每股盈余为新台币元外）**

| 项目 | 111年1月1日至3月31日 | 110年1月1日至3月31日 |
|------|----------------------|----------------------|
| 8311 确定福利计划之再衡量数 | $130,154 | $46,522 |
| 8316 透过其他综合损益按公允价值衡量之权益工具投资未实现评价损益 | $33,959 | $33,365 |
| 8310 不重分类至损益之项目总额 | $164,113 | $79,887 |
| 8361 国外营运机构财务报表换算之兑换差额 | $7,357,483 | $1,640,101 |
| 8368 避险工具之损益 | - | - |
| 8370 採用權益法認列之關聯企業及合資之其他综合損益之份額可能重分类至损益之项目 | $64 | - |
| 8399 與可能重分类之项目相关之所 | - | - |
| 8360 後續可能重分类至损益之项目 | $6,941,695 | $1,541,872 |
| 8300 其他综合损益（净额） | $7,105,808 | $1,621,759 |
| 8500 本期综合损益总额 | $13,936,598 | $8,665,054 |
| 淨利（損）归属于： | | |
| 8610 母公司業主 | $6,058,622 | $6,580,300 |
| 8620 非控制權益 | $772,168 | $462,995 |
| 綜合損益總額归属于： | | |
| 8710 母公司業主 | $11,989,100 | $8,060,480 |
| 8720 非控制權益 | $1,947,498 | $604,574 |
| 基本每股盈餘 | | |
| 9750 基本每股盈餘 | $2.33 | $2.53 |
| 稀释每股盈餘 | | |
| 9850 稀释每股盈餘 | $2.33 | $2.53 |

#### 董事长：海英俊
#### 经理人：郑平
#### 会计主管：余博文

---

**后附合併財務報表附註為本合併財務報告之一部分，請併同參閱。**
