### 财务报告分析

#### 不动产、厂房及设备

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 自用 | $2,833,378,579 | $2,693,815,688 | $2,104,326,119 |
| 營業租賃出租 | 18,313 | 21,282 | 4,535 |
| 总计 | $2,833,396,892 | $2,693,836,970 | $2,104,330,654 |

#### 自用

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地及土地改良 | $7,661,817 | $637,046,949 | $4,295,942,530 |
| 建筑物 | $85,028,040 | $1,336,842,608 | $1,362,521,944 |
| 機器設備 | $2,471,984 | $158,612,990 | $248,439,756 |
| 辦公設備 | - | - | - |
| 待驗設備及未定工程 | - | - | - |
| 合計 | $6,362,521,944 | $2,668,706,256 | $2,833,335,947 |

#### 累計折舊及減損

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地及土地改良 | $556,161 | $342,938,359 | $3,264,880,880 |
| 建筑物 | $790,740 | $790,740 | $790,740 |
| 機器設備 | $107,222,123 | $107,222,123 | $107,222,123 |
| 辦公設備 | - | - | - |
| 待驗設備及未定工程 | - | - | - |
| 合計 | $1,268,706,256 | $1,268,706,256 | $1,268,706,256 |

#### 本公司建築物之重大組成部分

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 廠房主建物 | $6,488,230 | $576,597,777 | $3,984,749,236 |
| 機電動力設備及工程 | $76,154,170 | $593,155,733 | $5,237,145,146 |
| 無塵潔淨室系統 | - | - | - |
| 合計 | $7,254,384,406 | $6,559,753,506 | $5,834,290,282 |

#### 本公司於111年第1季評估部分機器設備

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 廠房主建物 | $5,988,404 | $270,432,535 | $1,081,209,795 |
| 機電動力設備及工程 | $24,327,507 | $24,327,507 | $593,155,733 |
| 無塵潔淨室系統 | - | - | - |
| 合計 | $5,988,404 | $270,432,535 | $1,081,209,795 |

#### 利息資本化資訊請參閱附註二三。

---

### 财务报告分析

#### 不动产、厂房及设备

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 自用 | $2,833,378,579 | $2,693,815,688 | $2,104,326,119 |
| 營業租賃出租 | 18,313 | 21,282 | 4,535 |
| 总计 | $2,833,396,892 | $2,693,836,970 | $2,104,330,654 |

#### 自用

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地及土地改良 | $7,661,817 | $637,046,949 | $4,295,942,530 |
| 建筑物 | $85,028,040 | $1,336,842,608 | $1,362,521,944 |
| 機器設備 | $2,471,984 | $158,612,990 | $248,439,756 |
| 辦公設備 | - | - | - |
| 待驗設備及未定工程 | - | - | - |
| 合計 | $6,362,521,944 | $2,668,706,256 | $2,833,335,947 |

#### 累計折舊及減損

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 土地及土地改良 | $556,161 | $342,938,359 | $3,264,880,880 |
| 建筑物 | $790,740 | $790,740 | $790,740 |
| 機器設備 | $107,222,123 | $107,222,123 | $107,222,123 |
| 辦公設備 | - | - | - |
| 待驗設備及未定工程 | - | - | - |
| 合計 | $1,268,706,256 | $1,268,706,256 | $1,268,706,256 |

#### 本公司建築物之重大組成部分

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 廠房主建物 | $6,488,230 | $576,597,777 | $3,984,749,236 |
| 機電動力設備及工程 | $76,154,170 | $593,15
