根据提供的图像，以下是提取的文本和表格信息：

### 文本内容
- 投资公司名称
- 子公司名称
- 业务性质
- 所持股权百分比或出资比例
- 备注

### 表格数据
| 投资公司名称 | 子公司名称 | 业务性质 | 所持股权百分比或出资比例 | 备注 |
|--------------|------------|----------|--------------------------|------|
| 和润企业股份有限公司 | 和劲企业股份有限公司 | 汽车之分期买卖业务 | 81.00 | - 註10 |
| 和润企业股份有限公司 | 和润电能股份有限公司 | 太阳能发电相关业务 | 80.00 | - 註15 |
| 和润电能股份有限公司 | 威电储能科技股份有限公司 | 太阳能发电相关业务 | 100.00 | - 註19 |
| Hoyun International Limited | 和运国际融资租赁有限公司 | 汽车租赁、批发、零售及支援服务 | 100.00 | 100.00 100.00 註20 |
| 和运国际融资租赁有限公司 | 和运(上海)商业保理有限公司 | 保理业务 | 100.00 | 100.00 100.00 |
| 和运国际融资租赁有限公司 | 和运(上海)汽车租赁有限公司 | 汽车租赁业务 | 100.00 | 100.00 100.00 註8 |
| 和运国际融资租赁有限公司 | 杭州益游网络科技股份有限公司 | 租赁业务 | 100.00 | - - 註16 |
| 和运国际融资租赁有限公司 | 杭州网悠科技股份有限公司 | 租赁业务 | 100.00 | - - 註16 |
| 和运国际融资租赁有限公司 | 和美(苏州)管理咨询服务有限公司 | 咨询服务 | 100.00 | - - 註17 |
| 和泰兴业股份有限公司 | Ichiban International Co., Ltd. | 一般投资业务 | 100.00 | 100.00 100.00 |
| 和泰丰田物料搬运股份有限公司 | 上海和乾物流设备贸易有限公司 | 产业用车辆及配件之销售服务 | 100.00 | 100.00 100.00 |
| 和泰兴业股份有限公司 | 和泰服务行销股份有限公司 | 空调设备维修及零件买卖 | 100.00 | 100.00 100.00 |
| 和泰兴业股份有限公司 | 和泰冷冻空调器材股份有限公司 | 购卖空调设备周边配件 | 100.00 | 100.00 100.00 |
| 和泰兴业股份有限公司 | 興昊物流股份有限公司 | 汽车货运 | 51.00 | 51.00 51.00 註12 |
| 興昊物流股份有限公司 | 隆昊起重工程有限公司 | 起重工程及运输仓储 | - | - 100.00 註12 |
| 興昊物流股份有限公司 | 和泰运输有限公司 | 汽车货运 | 100.00 | 100.00 100.00 |
| 興昊物流股份有限公司 | 和泰起重工程有限公司 | 汽车货运 | - | - 100.00 註12 |
| 興昊物流股份有限公司 | 隆和起重工程有限公司 | 起重工程及运输仓储 | - | - 100.00 註12 |
| 興昊物流股份有限公司 | 隆昊搬家货运有限公司 | 汽车货运 | 100.00 | 100.00 100.00 |
| Ichiban International Co., Ltd. | Air Master International | 一般投资业务 | 100.00 | 100.00 100.00 |
| Air Master International | 和展制冷设备贸易(上海)有限公司 | 冷气空调设备买卖 | 100.00 | 100.00 100.00 |
| 车美仕股份有限公司 | 凯美士汽车科技(上海)有限公司 | 车辆用品买卖 | 100.00 | 100.00 100.00 |
| 车美仕股份有限公司 | 興联科技股份有限公司 | 電子零组件製造 | 61.77 | 61.77 61.77 |
| 東部汽车股份有限公司 | 多羅滿汽車零配件股份有限公司 | 汽车零配件批发及零售 | 100.00 | 100.00 100.00 |
| 東部汽车股份有限公司 | 達來旺汽车零配件股份有限公司 | 汽车零配件批发及零售 | 100.00 | 100.00 100.00 |
| 東部汽车股份有限公司 | 和泰移动服务股份有限公司 | 計程車派遣業務 | 0.68 | 0.68 0.68 註1.7 |
| 東部汽车股份有限公司 | 和泰联网股份有限公司 | 电子商务交易平台服务 | 0.50 | - - 註14 |

### Markdown表格格式
```markdown
| 投资公司名称 | 子公司名称 | 业务性质 | 所持股权百分比或出资比例 | 备注 |
|--------------|------------|----------|--------------------------|------|
| 和润企业股份有限公司 | 和劲企业股份有限公司 | 汽车之分期买卖业务 | 81.00 | - 註10 |
| 和润企业股份有限公司 | 和润电能股份有限公司 | 太阳能发电相关业务 | 80.00 | - 註15 |
| 和润电能股份有限公司 | 威电储能科技股份有限公司 | 太阳能发电相关业务 | 100.00 | - 註19 |
| Hoyun International Limited | 和运国际融资租赁有限公司 | 汽车租赁、批发、零售及支援服务 | 100.00 | 100.00 100.00 註20 |
| 和运国际融资租赁有限公司 | 和运(上海)商业保理有限公司 | 保理业务 | 100.00 | 100.00 100.00 |
| 和运国际融资租赁有限公司 | 和运(上海)汽车租赁有限公司 | 汽车租赁业务 | 100.00 | 100.00 100.00 註8 |
| 和运国际融资租赁有限公司 | 杭州益游网络科技股份有限公司 | 租赁业务 | 100.00 | - - 註16 |
| 和运国际融资租赁有限公司 | 杭州网悠科技股份有限公司 | 租赁业务 | 100.00 | - - 註16 |
| 和运国际融资租赁有限公司 | 和美(苏州)管理咨询服务有限公司 | 咨询服务 | 100.00 | - - 註17 |
| 和泰兴业股份有限公司 | Ichiban International Co., Ltd. | 一般投资业务 | 100.00 | 100.00 100.00 |
| 和泰丰田物料搬运股份有限公司 | 上海和乾物流设备贸易有限公司 | 产业用车辆及配件之销售服务 | 100.00 | 100.00 100.00 |
| 和泰兴业股份有限公司 | 和泰服务行销股份有限公司 | 空调设备维修及零件买卖 | 100.00 | 100.00 100.00 |
| 和泰兴业股份有限公司 | 和泰冷冻空调器材股份有限公司 | 购卖空调设备周边配件 | 100.00 | 100.00 100.00 |
| 和泰兴业股份有限公司 | 興昊物流股份有限公司 | 汽车货运 | 51.00 | 51.00 51.00 註12 |
| 興昊物流股份有限公司 | 隆昊起重工程有限公司 | 起重工程及运输仓储 | - | - 100.00 註12 |
| 興昊物流股份有限公司 | 和泰运输有限公司 | 汽车货运 | 100.00 | 100.00 100.00 |
| 興昊物流股份有限公司 |
