### 财务报告

#### 投资公司名称
| 子公司名称 | 母公司名称 | 业务性质 | 所持股权百分比或出资比例 | 备注 |
|------------|------------|----------|--------------------------|------|
| 长源汽车股份有限公司 | 和泰车体制造股份有限公司 | 车体组装业务 | 20.00 | 註6 |
| 和泰车体制造股份有限公司 | 和泰车体销售股份有限公司 | 车体销售业务 | - | 註9.18 |

#### 财务数据

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 库存现金 | $ 1,777 | $ 1,750 | $ 2,137 |
| 活期存款 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 解释性文本

1. 本集团对该公司合计持股比率超过50%。
2. 上述直接或间接持股未超过50%之被投资公司，因本公司有权限主导其董事会超过半数之投票权，因此将此等公司视为子公司并列入本合并财务报表之编制个体。
3. 本公司于110年1月21日对和泰联网股份有限公司增资认购30,000,000股，金额为$300,000。
4. 本公司之子公司和运租車股份有限公司于民国110年1月28日以$360,000出售和雲行動服務股份有限公司予和泰联网股份有限公司，持股比例降为0%；和泰联网股份有限公司之持股比增至49.18%。
5. 本公司之子公司上海和裕豐田汽车服务有限公司、上海和凌汽车服务有限公司及上海和展汽车服务有限公司于民国110年3月5日未依持股比例参与增资上海和德二手車经营有限公司各人民币40万，致对其持股比皆增至23.81%。
6. 本公司与本公司之子公司长源汽车股份有限公司于民国110年3月30日参与和興國際汽车股份有限公司之现金增资，金额分别为$500,000及$200,000，持股比分别为50%及20%，该公司于民国110年4月29日变更登记改名为和泰车体制造股份有限公司。
7. 本公司之子公司東部汽车股份有限公司于民国110年4月29日参与现金增资和泰移动服务股份有限公司$3,000，持股比例为0.68%，因子公司和泰联网股份有限公司及和润企业股份有限公司未参与认购，对其之持股比例分别由60%及40%降至41.10%及27.40%。
8. 于民国110年第一季度成立。
9. 于民国110年第三季度成立。
10. 于民国110年第四季度成立。
11. 子公司和劲行销股份有限公司与和泰联网股份有限公司经董事会决议进行合併。合併基準日为民国110年12月31日。合併後，和泰联网股份有限公司为存续公司，和劲行销股份有限公司为消滅公司。
12. 于民国110年第四季清算解散。
13. 和通汽车投资有限公司于民国110年12月新投资设立青岛和凌雷克萨斯汽车销售服务有限公司，投资金额人民币2,100万，持股比例为70%。
