### 无形资产

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件成本 | $2,246,534 |
| 合计 | $45,352,837 |

| 项目 | 111年 |
|------|------|
| 商誉 | $16,186,060 |
| 特许权 | $8,936,939 |
| 专利权 | $1,153,742 |
| 商标权 | $8,074,424 |
| 已发展技术 | $7,644,030 |
| 客户关系 | $1,111,108 |
| 电脑软件
