### 财务报告分析

#### 3. 本集团民國 111 年及 110 年 7 月 1 日至 9 月 30 日暨民國 111 年及 110 年 1 月 1 日至 9 月 30 日使用權資產之增添分別為 $105,377、$25,987、$249,852 及 $160,977。

#### 4. 與租賃合約有關之損益項目資訊如下：

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|------------------|------------------|
| 影響當期損益之項目 | | |
| 租賃負債之利息費用 | $3,764 | $2,767 |
| 屬短期租賃合約之費用 | 16,358 | 4,623 |
| 變動租賃給付之費用 | 3,493 | 1,727 |
| 影響當期損益之項目 | | |
| 租賃負債之利息費用 | $9,240 | $8,378 |
| 屬短期租賃合約之費用 | 40,538 | 22,684 |
| 變動租賃給付之費用 | 8,469 | 2,866 |

#### 5. 本集團於民國 111 年及 110 年 1 月 1 日至 9 月 30 日租賃現金流出總額分別為 $190,816 及 $171,199。

#### (十) 短期借款及應付短期票券

| 项目 | 111年9月30日 | 利率区间 | 担保品 |
|------|--------------|----------|--------|
| 購料借款 | $1,321 | 5.50% | 無 |
| 擔保借款 | 50,000 | 1.20%~1.58% | 詳附註八 |
| 信用借款 | 41,727,713 | 0.86%~4.50% | 無 |
| 短期借款合計 | $41,779,034 | | |
| 應付短期票券 | $27,450,000 | 0.80%~1.45% | 無 |
| 應付短期票券折價 | (16,428) | | |
| 應付短期票券淨額 | $27,433,572 | | |

| 项目 | 110年12月31日 | 利率区间 | 担保品 |
|------|--------------|----------|--------|
| 購料借款 | $31,236 | 0.75%~4.50% | 無 |
| 擔保借款 | 70,000 | 1.20% | 詳附註八 |
| 信用借款 | 17,411,638 | 0.42%~3.75% | 無 |
| 短期借款合計 | $17,512,874 | | |
| 應付短期票券 | $17,800,000 | 0.28%~0.45% | 無 |
| 應付短期票券折價 | (3,375) | | |
| 應付短期票券淨額 | $17,796,625 | | |

### 结论
通过分析财务报告，我们可以看到本集团在民國 111 年及 110 年的短期借款及應付短期票券情况。在民國 111 年及 110 年 7 月 1 日至 9 月 30 日期间，短期借款总额分别为 $190,816 和 $171,199。短期借款主要来自购料借款、担保借款和信用借款。在民國 111 年及 110 年 1 月 1 日至 9 月 30 日期间，短期借款总额分别为 $105,377 和 $25,987。短期借款主要来自购料借款、担保借款和信用借款。
