### (三十七)财务成本

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| 利息费用： | | |
| 银行借款 | $8,757,841 | $3,630,910 |
| 公司债 | 1,036,831 | 1,042,973 |
| 租赁负债之利息 | 196,490 | 362,739 |
| 应收账款转让费用 | 101,847 | 25,702 |
| 总计 | $10,093,009 | $5,062,324 |
| 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| 利息费用： | | |
| 银行借款 | $18,169,598 | $12,980,875 |
| 公司债 | 3,029,403 | 3,231,224 |
| 租赁负债之利息 | 636,407 | 1,093,614 |
| 应收账款转让费用 | 186,545 | 116,829 |
| 总计 | $22,021,953 | $17,422,542 |

### (三十八)所得税

#### 1. 所得税费用

| (1)所得税费用组成部分： | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|----------------------|----------------------|----------------------|
| 当期所得税： | | |
| 当期所得税产生之所得税 | $7,739,457 | $5,983,792 |
| 以前年度所得税低(高)估 | 159,769 | (36,326) |
| 当期所得税总额 | 7,899,226 | 5,947,466 |
| 遗延所得税： | | |
| 暂时性差异之原始产生及回转 | 1,604,246 | 2,593,222 |
| 所得税费用 | $9,503,472 | $8,540,688 |
| 111年1月1日至9月30日 | 110年1月1日至9月30日 |
| 当期所得税： | | |
| 当期所得税产生之所得税 | $24,814,515 | $21,957,431 |
| 未分配盈余加征 | 2,648,372 | 2,369,329 |
| 以前年度所得税高估 | (909,444) | (2,429,783) |
| 当期所得税总额 | 26,553,443 | 21,896,977 |
| 遗延所得税： | | |
| 暂时性差异之原始产生及回转 | 2,541,455 | 6,862,392 |
| 所得税费用 | $29,094,898 | $28,759,369 |
