### 财务报告

#### 十八、无形资产

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 庫存现金 | $ 1,777 | $ 1,750 | $ 2,137 |
| 活期存款 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 111年9月30日余额
| 项目 | 111年9月30日余额 |
|------|------------------|
| 商誉 | $ 16,458,787 |
| 餐饮特许权 | $ 7,681,476 |
| 採礦權 | $ 6,306,737 |
| 專門技術 | $ 1,155,340 |
| 其他 | $ 2,335,272 |
| 合計 | $ 33,937,612 |

#### 累计摊销及减值
| 项目 | 111年9月30日余额 |
|------|------------------|
| 商誉 | $ 156,000 |
| 餐饮特许权 | $ 1,624,443 |
| 採礦權 | $ 2,210,323 |
| 專門技術 | $ 264,235 |
| 其他 | $ 1,684,745 |
| 合計 | $ 5,939,746 |

#### 110年12月31日及
| 项目 | 110年12月31日及 |
|------|------------------|
| 111年1月1日余额 | $ 15,982,810 |
| 111年9月30日余额 | $ 16,302,787 |

#### 成本
| 项目 | 110年1月1日余额 |
|------|------------------|
| 商誉 | $ 11,784,778 |
| 餐饮特许权 | $ 7,681,476 |
| 採礦權 | $ 3,335,578 |
| 專門技術 | $ 1,203,169 |
| 其他 | $ 24,005,001 |

#### 累计摊销及减值
| 项目 | 110年1月1日余额 |
|------|------------------|
| 商誉 | $ 156,000 |
| 餐饮特许权 | $ 1,359,999 |
| 採礦權 | $ 1,763,855 |
| 專門技術 | $ 1,161,187 |
| 其他 | $ 4,441,041 |

#### 110年9月30日余额
| 项目 | 110年9月30日余额 |
|------|------------------|
| 商誉 | $ 16,827,386 |
| 餐饮特许权 | $ 7,681,476 |
| 採礦權 | $ 3,446,428 |
| 専門技術 | $ 1,661,017 |
| 其他 | $ 29,616,307 |

#### 累计摊销及减值
| 项目 | 110年9月30日余额 |
|------|------------------|
| 商誉 | $ 156,000 |
| 餐饮特许权 | $ 1,473,332 |
| 採礦權 | $ 1,872,141 |
| 専門技術 | $ 1,400,077 |
| 其他 | $ 4,901,550 |

#### 110年9月30日余额
| 项目 | 110年9月30日余额 |
|------|------------------|
| 商誉 | $ 16,671,386 |
| 餐饮特许权 | $ 6,208,144 |
| 採礦權 | $ 1,574,287 |
| 専門技術 | $ 260,940 |
| 其他 | $ 24,714,757 |

### 结论
根据提供的财务报告，111年9月30日的无形资产余额为33,937,612美元，其中商誉为16,458,787美元，餐饮特许权为7,681,476美元，採礦權为6,306,737美元，專門技術为1,155,340美元，其他为2,335,272美元。累计摊销及减值为5,939,746美元，其中商誉为156,000美元，餐饮特许权为1,624,443美元，採礦權为2,210,323美元，專門技術为264,235美元，其他为1,684,745美元。
