### 财务报告分析

#### 6. 关联企业

**（1）本集团重大关联企业之基本资讯如下：**

| 公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 110年9月30日 | 关係 | 持股比率 | 衡量方法 |
|----------|--------------|--------------|--------------|--------------|------|----------|----------|
| SHARP CORPORATION | 日本 | 34% | 36% | 36% | 策略投资 | 持股法 |
| 興微（廣州）產業投資合夥企業（有限合夥） | 中國 | 註 | - | - | 策略投资 | 持股法 |
| 鴻準精密工業股份有限公司 | 台灣 | 29% | 29% | 29% | 供应商 | 持股法 |
| ZHEN DING TECHNOLOGY HOLDING LIMITED | 開曼群島 | 32% | 32% | 32% | 供应商 | 持股法 |

**注：** 该关联企业系属有限合夥之私募基金，依据合夥协议，本集团仅担任该基金之有限合夥人，出资比例计99%，并未在该基金之投资决策委员会取得逾半数之席次且投资决策委员会审议之事项应由全体委员同意及通过方属有效。

**（2）本集团重大关联企业之彙总性财务资讯如下：**

下列重大关联企业 SHARP CORPORATION 之民国 111 年 1 月 1 日至 111 年 9 月 30 日彙总性财务资讯係未经会计师查核或核阅之财务报告所编製。

**资产负债表**

| SHARP CORPORATION | 111年9月30日 | 110年12月31日 | 110年9月30日 |
|-------------------|--------------|--------------|--------------|
| 流动资产 | $279,419,591 | $297,235,153 | $287,407,752 |
| 非流动资产 | 210,727,544 | 176,118,468 | 184,574,768 |
| 流动负债 | (209,558,971) | (205,544,287) | (205,120,224) |
| 非流动负债 | (163,033,132) | (163,303,108) | (169,249,284) |
| 净资产总额 | 117,555,032 | 104,506,226 | 97,613,012 |
| 会计原则影响数 | 2,594,351 | 1,595,032 | (3,812,367) |
| 商誉及其他无形、有形资产 | 86,241,585 | 94,474,710 | 98,365,275 |
| 调整后净资产总额 | $206,390,968 | $200,575,968 | $192,165,920 |
| 占关联企业净资产之份額（注） | $69,182,560 | $71,625,206 | $68,585,685 |
| 商誉 | 12,145,317 | 12,061,814 | 12,090,577 |
| 其他 | (4,023,106) | (2,476,211) | (3,616,232) |
| 关联企业账面价值 | $77,304,771 | $81,210,809 | $77,060,030 |

**注：** SHARP CORPORATION 於民国 111 年 6 月发行新股共计 3,845 萬股。
