### 财务报告

#### 合并综合损益表
**单位：新台币仟元**
**（除每股盈余为新台币元外）**

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|----------------------|
| 4000 营业收入 | $170,433,361 | $143,481,647 | $516,257,233 | $333,401,180 |
| 5000 营业成本 | (57,314,868) | (44,473,846) | (163,346,284) | (132,993,544) |
| 5900 营业毛利 | 113,118,493 | 99,007,801 | 352,910,949 | 200,407,636 |
| 5910 未实现销货利益 | - | - | - | - |
| 5920 已实现销货利益 | 5,247 | 4,348 | 15,705 | 11,746 |
| 5950 营业毛利净额 | 113,123,740 | 99,012,149 | 352,913,462 | 200,365,411 |
| 营业费用 | - | - | - | - |
| 6100 推销费用 | (663,895) | - | (1,926,377) | - |
| 6200 管理费用 | (3,428,139) | (2) | (2,408,302) | (2) |
| 6450 预期信用减损利益 | 136 | - | 1,788 | - |
| 6000 营业费用合计 | (4,091,898) | (2) | (2,954,655) | (2) |
| 6500 其他收益及费用净额 | 217,985 | - | 59,278 | - |
| 6900 营业利润 | 109,249,827 | 96,116,772 | 341,982,476 | 192,105,533 |
| 营业外收入及支出 | - | - | - | - |
| 7100 利息收入 | 1,992,773 | 98,870 | 2,944,746 | 237,835 |
| 7010 其他收入 | 115,345 | - | 434,175 | 412,314 |
| 7020 其他利益及损失 | 5,314,513 | 45,669 | 8,947,032 | 84,675 |
| 7050 财务成本 | (835,788) | - | (2,335,155) | (2,466,887) |
| 7060 采用权益法认列之关联企业及合营损益之份额 | 2,415,914 | 537,346 | 8,980,909 | 2,796,385 |
| 7000 营业外收入及支出合计 | 9,002,757 | 149,106 | 18,971,707 | 1,064,322 |
| 7900 税前净利 | 118,252,584 | 96,265,878 | 360,954,183 | 193,169,855 |
| 7950 所得税费用 | (15,234,014) | (9) | (9,004,215) | (6) |
| 8200 本期净利 | $103,018,570 | $87,261,663 | $314,683,232 | $176,914,699 |

#### 续次页

---

### 财务报告

#### 合并综合损益表
**单位：新台币仟元**
**（除每股盈余为新台币元外）**

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|----------------------|
| 4000 营业收入 | $170,433,361 | $143,481,647 | $516,257,233 | $333,401,180 |
| 5000 营业成本 | (57,314,868) | (44,473,846) | (163,346,284) | (132,993,544) |
| 5900 营业毛利 | 113,118,493 | 99,007,801 | 352,910,949 | 200,407,636 |
| 5910 未实现销货利益 | - | - | - | - |
| 5920 已实现销货利益 | 5,247 | 4,348 | 15,705 | 11,746 |
| 5950 营业毛利净额 | 113,123,740 | 99,012,149 | 352,913,462 | 200,365,411 |
| 营业费用 | - | - | - | - |
| 6100 推销费用 | (663,895) | - | (1,926,377) | - |
| 6200 管理费用 | (3,428,139) | (2) | (2,408,302) | (2) |
| 6450 预期信用减损利益 | 136 | - | 1,788 | - |
| 6000 营业费用合计 | (4,091,898) | (2) | (2,954,655) | (2) |
| 6500 其他收益及费用净额 | 217,985 | - | 59,278 | - |
| 6900 营业利润 | 109,249,827 | 96,116,772 | 341,982,476 | 192,105,533 |
| 营业外收入及支出 | - | - | - | - |
| 7100 利息收入 | 1,992,773 | 98,870 | 2,944,746 | 237,835 |
| 7010 其他收入 | 115,345 | - | 434,175 | 412,314 |
| 702
