### 财务报告分析

#### 1. 存货跌价回升利益（呆滞损失）

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|----------------------|
| 存货跌价回升利益（呆滞损失） | ($ 4,785) | $ 18,317 | $ 27,377 | $ 22,549 |

#### 2. 存货净变现价值回升主要系因存货去化所致。

#### 3. 子公司

| 子公司名称 | 本年持有比例 | 本年持股比例 | 本年持股比例 | 本年持股比例 |
|------------|---------------|---------------|---------------|---------------|
| 台湾通运仓储股份有限公司（台湾通运公司） | 83.9% | 83.9% | 83.9% | 83.9% |
| 信昌投资股份有限公司（信昌投资公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 光和耐火工业股份有限公司（光和耐火公司） | 95.3% | 95.3% | 95.3% | 95.3% |
| Hong Kong Cement Manufacturing Co., Ltd. (HKCMCL) | 84.7% | 84.7% | 84.7% | 84.7% |
| 達和航運股份有限公司（達和航運公司） | 64.8% | 64.8% | 64.8% | 64.8% |
| 台灣士敏工程股份有限公司（台灣士敏公司） | 99.2% | 99.2% | 99.2% | 99.2% |
| 台泥綠能股份有限公司（台泥綠能公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 台泥再生資源股份有限公司（台泥再生資源公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 台泥資訊股份有限公司（台泥資訊公司） | 99.4% | 99.4% | 99.4% | 99.4% |
| 東成石礦股份有限公司（東成石礦公司） | 99.5% | 99.5% | 99.5% | 99.5% |
| 金昌石礦股份有限公司（金昌石礦公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 和平工業區專用港實業股份有限公司（和平港公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| TCC International Ltd. (TCCI) | 100.0% | 100.0% | 100.0% | 100.0% |
| TCCMOLI Holdings (Singapore) Pte. Ltd. (TCCMOLI) | - | 100.0% | 100.0% | 100.0% |
| 和平電力股份有限公司（和平電力公司） | 59.5% | 59.5% | 59.5% | 59.5% |
| 英屬維京群島商和平企業經營管理顧問股份有限公司（和平營管公司） | 60.0% | 60.0% | 60.0% | 60.0% |
| 萬青水泥股份有限公司（萬青水泥公司） | 50.6% | 50.6% | 50.6% | 50.6% |
| 鳳勝實業股份有限公司（鳳勝實業公司） | 45.4% | 45.4% | 45.4% | 45.4% |

#### 4. 子公司（续）

| 子公司名称 | 本年持有比例 | 本年持股比例 | 本年持股比例 | 本年持股比例 |
|------------|---------------|---------------|---------------|---------------|
| 台泥綠能股份有限公司（台泥綠能公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 台泥再生資源股份有限公司（台泥再生資源公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 台泥資訊股份有限公司（台泥資訊公司） | 99.4% | 99.4% | 99.4% | 99.4% |
| 東成石礦股份有限公司（東成石礦公司） | 99.5% | 99.5% | 99.5% | 99.5% |
| 金昌石礦股份有限公司（金昌石礦公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 和平工業區專用港實業股份有限公司（和平港公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| TCC International Ltd. (TCCI) | 100.0% | 100.0% | 100.0% | 100.0% |
| TCCMOLI Holdings (Singapore) Pte. Ltd. (TCCMOLI) | - | 100.0% | 100.0% | 100.0% |
| 和平電力股份有限公司（和平電力公司） | 59.5% | 59.5% | 59.5% | 59.5% |
| 英屬維京群島商和平企業經營管理顧問股份有限公司（和平營管公司） | 60.0% | 60.0% | 60.0% | 60.0% |
| 萬青水泥股份有限公司（萬青水泥公司） | 50.6% | 50.6% | 50.6% | 50.6% |
| 鳳勝實業股份有限公司（鳳勝實業公司） | 45.4% | 45.4% | 45.4% | 45.4% |

#### 5. 子公司（续）

| 子公司名称 | 本年持有比例 | 本年持股比例 | 本年持股比例 | 本年持股比例 |
|------------|---------------|---------------|---------------|---------------|
| 台泥綠能股份有限公司（台泥綠能公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 台泥再生資源股份有限公司（台泥再生資源公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 台泥資訊股份有限公司（台泥資訊公司） | 99.4% | 99.4% | 99.4% | 99.4% |
| 東成石礦股份有限公司（東成石礦公司） | 99.5% | 99.5% | 99.5% | 99.5% |
| 金昌石礦股份有限公司（金昌石礦公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| 和平工業區專用港實業股份有限公司（和平港公司） | 100.0% | 100.0% | 100.0% | 100.0% |
| TCC International Ltd. (TCCI) | 100.0% | 100.0% | 100.0% | 100.0% |
| TCCMOLI Holdings (Singapore) Pte. Ltd.
