### (三十)来自筹资活动之负债之变动

| 项目 | 111年1月1日 | 111年9月30日 | 110年1月1日 | 110年9月30日 |
|------|--------------|---------------|--------------|--------------|
| 短期借款 | $ 17,512,874 | $ 41,779,034 | $ 19,055,620 | $ 20,070,288 |
| 应付短期票券 | $ 17,796,625 | $ 27,433,572 | $ 16,096,733 | $ 14,598,048 |
| 应付公司债（含一年内到期部分） | $ 50,050,000 | $ 47,550,000 | $ 42,100,000 | $ 52,100,000 |
| 长期借款（含一年内到期部分） | $ 17,177,183 | $ 25,403,691 | $ 16,298,088 | $ 15,562,973 |
| 来自筹资活动之负债总额 | $ 102,536,682 | $ 142,166,297 | $ 93,550,441 | $ 102,331,309 |

### (三十)来自筹资活动之负债之变动

| 项目 | 111年1月1日 | 111年9月30日 | 110年1月1日 | 110年9月30日 |
|------|--------------|---------------|--------------|--------------|
| 短期借款 | $ 17,512,874 | $ 41,779,034 | $ 19,055,620 | $ 20,070,288 |
| 应付短期票券 | $ 17,796,625 | $ 27,433,572 | $ 16,096,733 | $ 14,598,048 |
| 应付公司债（含一年内到期部分） | $ 50,050,000 | $ 47,550,000 | $ 42,100,000 | $ 52,100,000 |
| 长期借款（含一年内到期部分） | $ 17,177,183 | $ 25,403,691 | $ 16,298,088 | $ 15,562,973 |
| 来自筹资活动之负债总额 | $ 102,536,682 | $ 142,166,297 | $ 93,550,441 | $ 102,331,309 |

### (三十)来自筹资活动之负债之变动

| 项目 | 111年1月1日 | 111年9月30日 | 110年1月1日 | 110年9月30日 |
|------|--------------|---------------|--------------|--------------|
| 短期借款 | $ 17,512,874 | $ 41,779,034 | $ 19,055,620 | $ 20,070,288 |
| 应付短期票券 | $ 17,796,625 | $ 27,433,572 | $ 16,096,733 | $ 14,598,048 |
| 应付公司债（含一年内到期部分） | $ 50,050,000 | $ 47,550,000 | $ 42,100,000 | $ 52,100,000 |
| 长期借款（含一年内到期部分） | $ 17,177,183 | $ 25,403,691 | $ 16,298,088 | $ 15,562,973 |
| 来自筹资活动之负债总额 | $ 102,536,682 | $ 142,166,297 | $ 93,550,441 | $ 102,331,309 |

### (三十)来自筹资活动之负债之变动

| 项目 | 111年1月1日 | 111年9月30日 | 110年1月1日 | 110年9月30日 |
|------|--------------|---------------|--------------|--------------|
| 短期借款 | $ 17,512,874 | $ 41,779,034 | $ 19,055,620 | $ 20,070,288 |
| 应付短期票券 | $ 17,796,625 | $ 27,433,572 | $ 16,096,733 | $ 14,598,048 |
| 应付公司债（含一年内到期部分） | $ 50,050,000 | $ 47,550,000 | $ 42,100,000 | $ 52,100,000 |
| 长期借款（含一年内到期部分） | $ 17,177,183 | $ 25,403,691 | $ 16,298,088 | $ 15,562,973 |
| 来自筹资活动之负债总额 | $ 102,536,682 | $ 142,166,297 | $ 93,550,441 | $ 102,331,309 |
