### 财务报告

#### 1. 子公司信息

| 子公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------------|---------------|--------------|----------------|--------------|
| 和润企业股份有限公司 | 台湾 | $17,863,750 | $12,426,650 | $11,923,069 |
| 和运租車股份有限公司 | 台湾 | 1,724,527 | 1,633,775 | 1,538,790 |

#### 2. 非控制权益

| 项目 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $26,993,588 | $20,695,114 | $19,633,754 |

#### 3. 未列入合并财务报告之子公司：无。

#### 4. 子公司会计期间不同之调整及处理方式：不适用。

#### 5. 重大限制：不适用。

#### 6. 对本集团具重大性之非控制权益之子公司

| 子公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------------|---------------|--------------|----------------|--------------|
| 和润企业股份有限公司 | 台湾 | $17,863,750 | $12,426,650 | $11,923,069 |
| 和运租車股份有限公司 | 台湾 | 1,724,527 | 1,633,775 | 1,538,790 |

#### 7. 未列入合并财务报告之子公司：无。

#### 8. 子公司会计期间不同之调整及处理方式：不适用。

#### 9. 重大限制：不适用。

#### 10. 对本集团具重大性之非控制权益之子公司

| 子公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------------|---------------|--------------|----------------|--------------|
| 和润企业股份有限公司 | 台湾 | $17,863,750 | $12,426,650 | $11,923,069 |
| 和运租車股份有限公司 | 台湾 | 1,724,527 | 1,633,775 | 1,538,790 |

#### 11. 未列入合并财务报告之子公司：无。

#### 12. 子公司会计期间不同之调整及处理方式：不适用。

#### 13. 重大限制：不适用。

#### 14. 对本集团具重大性之非控制权益之子公司

| 子公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------------|---------------|--------------|----------------|--------------|
| 和润企业股份有限公司 | 台湾 | $17,863,750 | $12,426,650 | $11,923,069 |
| 和运租車股份有限公司 | 台湾 | 1,724,527 | 1,633,775 | 1,538,790 |

#### 15. 未列入合并财务报告之子公司：无。

#### 16. 子公司会计期间不同之调整及处理方式：不适用。

#### 17. 重大限制：不适用。

#### 18. 对本集团具重大性之非控制权益之子公司

| 子公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------------|---------------|--------------|----------------|--------------|
| 和润企业股份有限公司 | 台湾 | $17,863,750 | $12,426,650 | $11,923,069 |
| 和运租車股份有限公司 | 台湾 | 1,724,527 | 1,633,775 | 1,538,790 |

#### 19. 未列入合并财务报告之子公司：无。

#### 20. 子公司会计期间不同之调整及处理方式：不适用。

#### 21. 重大限制：不适用。

#### 22. 对本集团具重大性之非控制权益之子公司

| 子公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------------|---------------|--------------|----------------|--------------|
| 和润企业股份有限公司 | 台湾 | $17,863,750 | $12,426,650 | $11,923,069 |
| 和运租車股份有限公司 | 台湾 | 1,724,527 | 1,633,775 | 1,538,790 |

#### 23. 未列入合并财务报告之子公司：无。

#### 24. 子公司会计期间不同之调整及处理方式：不适用。

#### 25. 重大限制：不适用。

#### 26. 对本集团具重大性之非控制权益之子公司

| 子公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------------|---------------|--------------|----------------|--------------|
| 和润企业股份有限公司 | 台湾 | $17,863,750 | $12,426,650 | $11,923,069 |
| 和运租車股份有限公司 | 台湾 | 1,724,527 | 1,633,775 | 1,538,790 |

#### 27. 未列入合并财务报告之子公司：无。

#### 28. 子公司会计期间不同之调整及处理方式：不适用。

#### 29. 重大限制：不适用。

#### 30. 对本集团具重大性之非控制权益之子公司

| 子公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------------|---------------|--------------|----------------|--------------|
| 和润企业股份有限公司 | 台湾 | $17,863,750 | $12,426,650 | $11,923,069 |
| 和运租車股份有限公司 | 台湾 | 1,724,527 | 1,633,775 | 1,538,790 |

#### 31. 未列入合并财务报告之子公司：无。

#### 32. 子公司会计期间不同之调整及处理方式：不适用。

#### 33. 重大限制：不适用。

#### 34. 对本集团具重大性之非控制权益之子公司

| 子公司名称 | 主要营业场所 | 111年9月30日 | 110年12月31日 | 111年3月31日 |
|------------|---------------|--------------|----------------|--------------|
| 和润企业股份有限公司 | 台湾 | $17,863,750 | $12,426,650 | $11,923,069 |
| 和运租車股份有限公司 | 台湾 | 1,724,527 | 1,633,775 | 1,538,790 |

#### 35. 未列入合并财务报告之子公司：无。

#### 36. 子公司会计期间不同之调整及处理方式：不适用。

#### 37. 重大限制：不适用。

#### 38. 对本集团具重大性之非控制权益之子公司

| 子公司名称 | 主要营业场所 | 111
