### 财务报告

#### 1. 营业收入
| 代 码 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|-------|----------------------|----------------------|----------------------|----------------------|
| 4100  | $ 7,563,830           | $ 6,077,173           | $22,471,562           | $19,808,521           |
| 5110  | $ 4,056,162           | $ 3,262,883           | $12,178,297           | $10,820,108           |
| 5900  | $ 3,507,668           | $ 2,814,290           | $10,293,265           | $8,988,413            |

#### 2. 营业成本
| 代 码 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|-------|----------------------|----------------------|----------------------|----------------------|
| 6100  | $ 742,976             | $ 626,899             | $2,150,962            | $1,898,833            |
| 6200  | $ 296,593             | $ 305,934             | $825,490              | $821,844             |
| 6300  | $ 244,154             | $ 184,819             | $636,829              | $543,778             |
| 6450  | $ 5,283               | $ (6,376)            | $ (12,788)            | $17,549              |
| 6000  | $ 1,289,006           | $ 1,111,276           | $3,600,493            | $3,282,004           |

#### 3. 营业费用
| 代 码 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|-------|----------------------|----------------------|----------------------|----------------------|
| 7100  | $ 31,697              | $ 28,369              | $77,743               | $76,133              |
| 7020  | $ 274,445             | $ 105,275             | $85,269               | $386,070             |
| 7050  | $ (50,051)            | $ (34,424)            | $ (137,667)           | $ (103,475)          |
| 7000  | $ 256,091             | $ 99,220              | $25,345               | $358,728             |

#### 4. 营业外收入及支出
| 代 码 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|-------|----------------------|----------------------|----------------------|----------------------|
| 7900  | $ 2,474,753           | $ 1,802,234           | $6,718,117            | $6,065,137           |
| 7950  | $ 535,242             | $ 411,201             | $1,451,967            | $1,394,306           |
| 8200  | $ 1,939,511           | $ 1,391,033           | $5,266,150            | $4,670,831           |

#### 5. 其他综合损益
| 代 码 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|-------|----------------------|----------------------|----------------------|----------------------|
| 8310  | $ 1,296,277           | $ 305,956             | $82,933               | $1,083,920           |
| 8341  | $ 17                  | $ 5                  | $-                   | $5                   |
| 8360  | $ 1,451,967           | $ 411,201             | $1,394,306            | $1,394,306           |
| 8361  | $ (242,461)           | $ (55,612)            | $ (1)                | $ (3)               |
| 8300  | $ 1,053,816           | $ 250,344             | $82,930               | $879,438             |

#### 6. 本期净利润
| 代 码 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|-------|----------------------|----------------------|----------------------|----------------------|
| 8500  | $ 2,993,327           | $ 1,641,377           | $5,349,080            | $5,550,269           |

#### 7. 每股盈余
| 代 码 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|-------|----------------------|----------------------|----------------------|----------------------|
| 9710  | $ 9.70                | $ 6.96                | $ 26.33               | $ 23.36              |
| 9810  | $ 9.70                | $ 6.95                | $ 26.32               | $ 23.34              |

#### 8. 董事长：王世忠
#### 9. 经理人：王世忠
#### 10. 会计主管：曹永祥

#### 11. 附注：后附之附注係本合併財務報告之一部分。
