### (二)部门资讯

提供予主要營運決策者之應報導部門資訊如下：

民國 111 年 1 月 1 日至 3 月 31 日：

| 项目 | 運輸部門 | 其他部門 | 調整及沖銷 | 總計 |
|------|----------|----------|----------|------|
| 外部收入 | $ 170,397,378 | $ 427,293 | $ - | $ 170,824,671 |
| 內部部門收入 | 19,417,737 | - | ( 19,417,737 ) | - |
| 部門收入 | 189,815,115 | 427,293 | ( 19,417,737 ) | 170,824,671 |
| 利息收入 | 238,472 | 4,678 | - | 243,150 |
| 利息費用 | ( 751,699 ) | ( 1,413 ) | - | ( 753,112 ) |
| 折舊及攤銷 | ( 6,290,623 ) | ( 69,094 ) | - | ( 6,359,717 ) |
| 採用權益法認列之關聯 |  |  |  |  |
| 企業及合資損益之份額 | 879,306 | 1,847,128 | - | 2,726,434 |
| 其他項目 | ( 48,725,823 ) | ( 579,601 ) | - | ( 49,305,424 ) |
| 部門損益 | $ 135,164,748 | $ 1,628,991 | ( $ 19,417,737 ) | $ 117,376,002 |
| 可辨認資產 | $ 709,562,286 | $ 9,584,787 | $ - | $ 719,147,073 |
| 採用權益法之投資 | 27,771,887 | 10,971,983 | - | 38,743,870 |
| 部門資產 | $ 737,334,173 | $ 20,556,770 | $ - | $ 757,890,943 |
| 部門負債 | $ 289,389,276 | $ 1,070,181 | $ - | $ 290,459,457 |

民國 110 年 1 月 1 日至 3 月 31 日：

| 项目 | 運輸部門 | 其他部門 | 調整及沖銷 | 總計 |
|------|----------|----------|----------|------|
| 外部收入 | $ 89,483,555 | $ 469,505 | $ - | $ 89,953,060 |
| 內部部門收入 | 8,275,152 | - | ( 8,275,152 ) | - |
| 部門收入 | 97,758,707 | 469,505 | ( 8,275,152 ) | 89,953,060 |
| 利息收入 | 59,111 | 3,102 | - | 62,213 |
| 利息費用 | ( 881,815 ) | ( 1,553 ) | - | ( 883,368 ) |
| 折舊及攤銷 | ( 5,184,292 ) | ( 67,390 ) | - | ( 5,251,682 ) |
| 採用權益法認列之關聯 |  |  |  |  |
| 企業及合資損益之份額 | ( 215,240 ) | 1,274,884 | - | 1,059,644 |
| 其他項目 | ( 40,228,037 ) | ( 398,176 ) | - | ( 40,626,213 ) |
| 部門損益 | $ 51,308,434 | $ 1,280,372 | ( $ 8,275,152 ) | $ 44,313,654 |
| 可辨認資產 | $ 350,594,194 | $ 9,546,321 | $ - | $ 360,140,515 |
| 採用權益法之投資 | 23,904,320 | 7,024,176 | - | 30,928,496 |
| 部門資產 | $ 374,498,514 | $ 16,570,497 | $ - | $ 391,069,011 |
| 部門負債 | $ 240,313,896 | $ 917,713 | $ - | $ 241,231,609 |
