# 鸿海精密工业股份有限公司及子公司
## 合并综合损益表
### 民国112年及111年1月至9月30日

| 项目 | 附注 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
| --- | --- | --- | --- | --- | --- |
| 4000 營業收入 | 六(三十一)及七 | $1,543,163,653 | 100 | $1,746,604,787 | 100 | $4,310,149,182 | 100 | $4,663,968,546 | 100 |
| 5000 營業成本 | 六(八)(三十五)及七 | (1,440,410,156) | (93) | (1,638,977,070) | (94) | (4,035,484,046) | (94) | (4,374,947,427) | (94) |
| 5900 營業毛利 |  | 102,753,497 | 7 | 107,627,717 | 6 | 274,665,136 | 6 | 289,021,119 | 6 |
| 營業費用 | 六(三十五) |  |  |  |  |  |  |  |  |
| 6100 推銷費用 |  | (5,366,675) | - | (7,865,102) | - | (16,935,761) | - | (21,698,252) | - |
| 6200 管理費用 |  | (24,080,087) | (2) | (21,240,053) | (1) | (62,846,404) | (1) | (57,614,297) | (1) |
| 6300 研究發展費用 |  | (27,156,833) | (2) | (29,973,118) | (2) | (77,284,649) | (2) | (80,153,294) | (2) |
| 6000 營業費用合計 |  | (56,603,595) | (4) | (59,078,273) | (3) | (157,066,814) | (3) | (159,465,843) | (3) |
| 6900 營業利益 |  | 46,149,902 | 3 | 48,549,444 | 3 | 117,598,322 | 3 | 129,555,276 | 3 |
| 營業外收入及支出 |  |  |  |  |  |  |  |  |  |
| 7100 利息收入 | 六(三十二) | 20,868,596 | 1 | 11,601,392 | 1 | 59,970,158 | 1 | 28,876,672 | 1 |
| 7010 其他收入 | 六(三十三) | 3,306,486 | - | 2,985,046 | - | 7,637,260 | - | 6,872,990 | - |
| 7020 其他利益及損失 | 六(三十四) | 1,804,804 | - | (3,617,014) | - | 4,273,064 | - | (15,808,237) | - |
| 7050 財務成本 | 六(三十七) | (17,747,223) | (1) | (10,093,009) | (1) | (49,304,321) | (1) | (22,021,953) | (1) |
| 7060 採用權益法認列之關聯企業及合資損益之份額 | 六(九) | 2,834,836 | - | 1,770,453 | - | (14,848,553) | - | 7,586,132 | - |
| 7000 營業外收入及支出合計 |  | 11,067,499 | - | 2,646,868 | - | 7,727,608 | - | 5,505,604 | - |
| 7900 稅前淨利 |  | 57,217,401 | 3 | 51,196,312 | 3 | 125,325,930 | 3 | 135,060,880 | 3 |
| 7950 所得稅費用 | 六(三十八) | (9,727,497) | (1) | (9,503,472) | (1) | (28,793,587) | (1) | (29,094,898) | (1) |
| 8200 本期淨利 |  | $47,489,904 | 2 | $41,692,840 | 2 | $96,532,343 | 2 | $105,965,982 | 2 |

---

(續次頁)
