台湾化学纖維股份有限公司及子公司

合併資產負債表

民國111年3月31日及民國110年12月31日、3月31日

（民國111年及110年3月31日之合併資產負債表係依規定，未依一般公認審計準則查核）

單位：新台幣仟元

| 資  產 | 附註 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|---|---|---|---|---|
| 流動資產 | | | | |
| 1100 | 現金及約當現金 | $31,821,811 | $23,062,097 | $20,614,628 |
| 1110 | 透過損益按公允價值衡量之金融資產－流動 | 1,543,832 | 3,903,900 | 4,004,404 |
| 1120 | 透過其他綜合損益按公允價值衡量之金融資產－流動 | 118,101,104 | 116,451,723 | 116,550,460 |
| 1136 | 按攤銷後成本衡量之金融資產－流動 | 64,773 | 1,953,235 | 427,589 |
| 1150 | 應收票據淨額 | 10,016,489 | 8,173,238 | 11,611,505 |
| 1160 | 應收票據－關係人淨額 | 6,553 | 8,505 | 2,900 |
| 1170 | 應收帳款淨額 | 19,789,085 | 20,204,508 | 19,434,425 |
| 1180 | 應收帳款－關係人淨額 | 9,699,550 | 8,719,009 | 7,538,707 |
| 1200 | 其他應收款 | 3,819,012 | 2,742,096 | 3,232,573 |
| 1210 | 其他應收款－關係人 | 2,841,803 | 2,698,693 | 3,922,038 |
| 130X | 存貨 | 50,624,179 | 47,200,475 | 39,433,105 |
| 1470 | 其他流動資產 | 12,752,302 | 11,513,548 | 12,966,390 |
| 11XX | 流動資產合計 | 261,080,493 | 246,631,027 | 239,738,724 |
| 非流動資產 | | | | |
| 1517 | 透過其他綜合損益按公允價值衡量之金融資產－非流動 | 73,464,153 | 72,999,266 | 61,424,870 |
| 1535 | 按攤銷後成本衡量之金融資產－非流動 | 1,500 | 2,390,179 | 1,500 |
| 1550 | 採用權益法之投資 | 133,158,246 | 129,632,702 | 123,006,563 |
| 1600 | 不動產、廠房及設備－非流動 | 134,211,073 | 130,897,801 | 127,326,898 |
| 1755 | 使用權資產 | 1,672,134 | 1,577,555 | 1,567,142 |
| 1780 | 無形資產 | 5,930 | 5,884 | 3,293 |
| 1840 | 遞延所得稅資產 | 1,418,448 | 2,240,322 | 2,091,363 |
| 1900 | 其他非流動資產 | 11,557,275 | 11,970,535 | 8,890,006 |
| 15XX | 非流動資產合計 | 355,488,759 | 351,714,244 | 324,311,635 |
| 1XXX | 資產總計 | $616,569,252 | $598,345,271 | $564,050,359 |
| (續 次 頁) | | | | |
