台湾化学纖維股份有限公司及子公司

合併資產負債表

民國111年3月31日及民國110年12月31日、3月31日

（民國111年及110年3月31日之合併資產負債表係依規定，未依一般公認審計準則查核）

單位：新台幣仟元

| 負債及權益 | 附註 | 金 | 額 | % | 金 | 額 | % | 金 | 額 | % |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
| 流動負債 |  |  |  |  |  |  |  |  |  |  |
| 2100 | 短期借款 | 六(十) | $18,148,209 | 3 | $17,512,874 | 3 | $25,503,685 | 4 |  |  |
| 2110 | 應付短期票券 | 六(十) | 20,246,274 | 3 | 17,796,625 | 3 | 16,547,309 | 3 |  |  |
| 2150 | 應付票據 |  | 219,006 | - | 246,102 | - | 163,087 | - |  |  |
| 2170 | 應付帳款 |  | 6,963,861 | 1 | 3,888,771 | - | 5,667,480 | 1 |  |  |
| 2180 | 應付帳款－關係人 | 七 | 20,490,961 | 3 | 17,527,128 | 3 | 14,883,577 | 3 |  |  |
| 2200 | 其他應付款 | 七 | 9,469,817 | 2 | 12,762,681 | 2 | 7,805,401 | 1 |  |  |
| 2220 | 其他應付款項－關係人 | 七 | 558,174 | - | 542,013 | - | 524,137 | - |  |  |
| 2230 | 本期所得稅負債 |  | 6,290,338 | 1 | 5,732,381 | 1 | 4,034,177 | 1 |  |  |
| 2280 | 租賃負債－流動 |  | 160,195 | - | 110,520 | - | 170,483 | - |  |  |
| 2320 | 一年或一營業週期內到期長期負債 | 六(十二) | 4,550,000 | 1 | 4,550,000 | 1 | 3,150,000 | 1 |  |  |
| 2399 | 其他流動負債－其他 |  | 4,041,240 | 1 | 4,247,942 | 1 | 3,999,631 | 1 |  |  |
| 21XX |  |  | 91,138,075 | 15 | 84,917,037 | 14 | 82,448,967 | 15 |  |  |
| 非流動負債 |  |  |  |  |  |  |  |  |  |  |
| 2530 | 應付公司債 | 六(十二) | 44,400,000 | 7 | 45,500,000 | 8 | 38,950,000 | 7 |  |  |
| 2540 | 長期借款 | 六(十三) | 18,431,794 | 3 | 17,177,183 | 3 | 16,383,707 | 3 |  |  |
| 2570 | 遞延所得稅負債 |  | 391,041 | - | 382,012 | - | 439,374 | - |  |  |
| 2580 | 租賃負債－非流動 |  | 819,933 | - | 793,472 | - | 700,353 | - |  |  |
| 2600 | 其他非流動負債 | 六(十四) | 5,465,033 | 1 | 5,594,613 | 1 | 5,370,795 | 1 |  |  |
| 25XX |  |  | 69,507,801 | 11 | 69,447,280 | 12 | 61,844,229 | 11 |  |  |
| 2XXX |  |  | 160,645,876 | 26 | 154,364,317 | 26 | 144,293,196 | 26 |  |  |
| 歸屬於母公司業主之權益 |  |  |  |  |  |  |  |  |  |  |
| 股本 | 六(十五) |  |  |  |  |  |  |  |  |  |
| 3110 | 普通股股本 |  | 58,611,863 | 10 | 58,611,863 | 10 | 58,611,863 | 10 |  |  |
| 資本公積 | 六(十六) |  |  |  |  |  |  |  |  |  |
| 3200 | 資本公積 |  | 9,193,803 | 1 | 9,192,999 | 1 | 9,167,503 | 2 |  |  |
| 保留盈餘 | 六(十七) |  |  |  |  |  |  |  |  |  |
| 3310 | 法定盈餘公積 |  | 66,313,982 | 11 | 66,313,982 | 11 | 64,335,076 | 11 |  |  |
| 3320 | 特別盈餘公積 |  | 70,032,921 | 11 | 70,032,921 | 12 | 66,328,339 | 12 |  |  |
| 3350 | 未分配盈餘 |  | 78,206,426 | 13 | 72,145,718 | 12 | 66,255,649 | 12 |  |  |
| 其他權益 | 六(十八) |  |  |  |  |  |  |  |  |  |
| 3400 | 其他權益 |  | 120,321,747 | 19 | 114,997,001 | 19 | 103,313,113 | 18 |  |  |
| 3500 | 庫藏股票 | 六(十五) | (323,952) | - | (323,952) | - | (323,952) | - |  |  |
| 31XX | 歸屬於母公司業主之權益合計
