1. **文件类型**：财务报表
2. **公司名称**：华硕电脑股份有限公司及子公司
3. **主要标题或类别**：
   - 营业收入
   - 营业成本
   - 营业毛利
   - 营业费用
   - 营业外收入及支出
   - 税前净利
   - 所得税费用
   - 本期净利
   - 其他综合净利
   - 本期其他综合净利(损)之税后净额
   - 本期综合损益总额
   - 综合损益总额归属于：母公司股东
   - 综合损益总额归属于：非控制股东
   - 每股盈余：基本每股盈余
   - 每股盈余：稀释每股盈余

4. **财务数据摘要**：

   - **营业收入**：116,161,682新台币
   - **营业成本**：90,395,511新台币
   - **营业毛利**：25,766,171新台币
   - **营业费用**：14,252,986新台币
   - **营业外收入及支出**：1,297,057新台币
   - **税前净利**：12,805,822新台币
   - **所得税费用**：2,587,451新台币
   - **本期净利**：10,218,371新台币
   - **其他综合净利**：64,598新台币
   - **每股盈余：基本每股盈余**：13.18新台币
   - **每股盈余：稀释每股盈余**：13.07新台币

以上数据仅供参考，具体财务信息请以官方报告为准。
