```markdown
| 關係  | 人名稱  | 與合併公司之關係 |
|-------|---------|------------------|
| 萬鼎工程服務股份有限公司（萬鼎工程） | 合併公司為其母公司之主要管理階層 |
| 益鼎工程服務股份有限公司（益鼎工程） | 合併公司為其母公司之主要管理階層 |
| 中信投資股份有限公司 | 主要管理階層相同 |
| 協原化學股份有限公司 | 主要管理階層相同 |
| 中橡（馬鞍山）化學工業有限公司 | 主要管理階層相同 |
| 中橡（鞍山）化學工業有限公司 | 主要管理階層相同 |
| 財團法人劍潭古寺 | 主要管理階層相同 |
| 中橡（重慶）碳黑有限公司 | 主要管理階層相同 |
| 財團法人辜嚴倬雲植物保種暨環境保護發展基金會 | 主要管理階層相同 |
| Continental Carbon India Ltd. | 主要管理階層相同 |
| Continental Carbon Eco Technology Private Limited | 主要管理階層相同 |
| 林園先進材料科技股份有限公司 | 主要管理階層相同 |
| 富品投資股份有限公司 | 主要管理階層相同 |
| 興城投資股份有限公司 | 主要管理階層相同 |
| 全循環經濟股份有限公司 | 主要管理階層相同 |
| 唐山冀東水泥股份有限公司 | 實質關係人 |
| 煙台金隅冀東水泥沿海經貿有限公司 | 實質關係人 |
| 沈陽冀東水泥有限公司 | 實質關係人 |
| 大廠金隅塗料有限責任公司 | 實質關係人 |
| 唐山曹妃甸冀東裝備機械熱加工有限公司 | 實質關係人 |
| 唐山盾石建築工程有限責任公司 | 實質關係人 |
| 吉林市冀東發展盾石工程有限責任公司 | 實質關係人 |
| FCA AUSTRIA GMBH | 實質關係人 |
| FCA BELGIUM S.A | 實質關係人 |
| FCA GERMANY AG | 實質關係人 |
| FCA SWITZERLAND S.A. | 實質關係人 |
| GROUPE PSA ITALIA SPA | 實質關係人 |
| LEASYS RENT SPA | 實質關係人 |
| FIAT CHRYSLER AUTOMOBILES ITALY SPA | 實質關係人 |
| Fiat Chrysler Automobiles N.V. | 實質關係人 |
| LEASYS SPA | 實質關係人 |
| PSA AUTOMOBILES S.A. | 實質關係人 |
```
