```markdown
| 土地及 | 土地改良物 | 房屋及建築 | 機器設備 | 運輸設備 | 未完工程 | 及待驗設備 | 合計 |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 111年1月1日 |  |  |  |  |  |  |  |
| 成本 | $ 11,997,565 | $ 48,940,796 | $ 311,142,989 | $ 11,818,294 | $ 23,632,259 | $ 407,531,903 |  |
| 累計折舊及減損 | (166,562) | (28,992,646) | (237,899,215) | (9,575,679) | - | (276,634,102) |  |
|  | $ 11,831,003 | $ 19,948,150 | $ 73,243,774 | $ 2,242,615 | $ 23,632,259 | $ 130,897,801 |  |

| 111年 |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 1月1日 | $ 11,831,003 | $ 19,948,150 | $ 73,243,774 | $ 2,242,615 | $ 23,632,259 | $ 130,897,801 |  |
| 增添 | - | 380,492 | 1,413,228 | 112,548 | 16,680,062 | 18,586,330 |  |
| 合併個體變動影響數 | 96,672 | 5,730 | 11,365 | 27,490 | - | 141,257 |  |
| 處分 | - (15,004) | (88,532) | (1,992) | - | (105,528) |  |  |
| 重分類 | 8 | 621,818 | 5,971,914 | 114,200 | (6,638,612) | 69,328 |  |
| 折舊費用 | - (1,207,770) | (8,654,831) | (352,111) | - | (10,214,712) |  |  |
| 淨兌換差額 | 36 | 830,122 | 1,845,841 | 39,581 | 517,795 | 3,233,375 |  |
| 9月30日(調整後) | $ 11,927,719 | $ 20,563,538 | $ 73,742,759 | $ 2,182,331 | $ 34,191,504 | $ 142,607,851 |  |

| 111年9月30日(調整後) |  |  |  |  |  |  |  |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 成本 | $ 12,094,600 | $ 51,199,047 | $ 322,359,003 | $ 12,158,688 | $ 34,191,504 | $ 432,002,842 |  |
| 累計折舊及減損 | (166,881) | (30,635,509) | (248,616,244) | (9,976,357) | - | (289,394,991) |  |
|  | $ 11,927,719 | $ 20,563,538 | $ 73,742,759 | $ 2,182,331 | $ 34,191,504 | $ 142,607,851 |  |
```
