```markdown
|  | 土地 | 房屋及建築 | 機器設備 | 電腦通訊設備 | 其他 | 未完工程及待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 1月1日 | $ 11,885,041 | $ 241,452,158 | $ 328,460,664 | $ 49,289,278 | $ 204,071,287 | $ 51,523,087 | $ 886,681,515 |
| 累計折舊及減損 | - | (120,250,925) | (223,577,469) | (39,299,213) | (141,149,224) | - | (524,276,831) |
|---|---|---|---|---|---|---|---|
| 1月1日 | $ 11,885,041 | $ 121,201,233 | $ 104,883,195 | $ 9,990,065 | $ 62,922,063 | $ 51,523,087 | $ 362,404,684 |

|  | 土地 | 房屋及建築 | 機器設備 | 電腦通訊設備 | 其他 | 未完工程及待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 1月1日 | $ 11,885,041 | $ 121,201,233 | $ 104,883,195 | $ 9,990,065 | $ 62,922,063 | $ 51,523,087 | $ 362,404,684 |
| 增添 | - | 1,638,555 | 4,587,537 | 595,122 | 3,442,971 | 8,151,597 | 18,415,782 |
| 移轉 | 592,605 | 3,340,355 | 7,642,989 | 244,614 | 206,177 | (12,160,695) | (133,955) |
| 處分 | - | (4,141) | (264,915) | (6,359) | (445,095) | (284,220) | (1,004,730) |
| 折舊費用 | - | (3,087,821) | (6,723,265) | (824,141) | (4,849,116) | - | (15,484,343) |
| 淨兌換差額 | (24,821) | 632,163 | 721,135 | 43,942 | 294,129 | 727,170 | 2,393,718 |
| 3月31日 | $ 12,452,825 | $ 123,720,344 | $ 110,846,676 | $ 10,043,243 | $ 61,571,129 | $ 47,956,939 | $ 366,591,156 |

|  | 土地 | 房屋及建築 | 機器設備 | 電腦通訊設備 | 其他 | 未完工程及待驗設備 | 合計 |
|---|---|---|---|---|---|---|---|
| 3月31日 | $ 12,452,825 | $ 247,729,435 | $ 338,600,502 | $ 50,017,707 | $ 205,848,002 | $ 47,956,939 | $ 902,605,410 |
| 累計折舊及減損 | - | (124,009,091) | (227,753,826) | (39,974,464) | (144,276,873) | - | (536,014,254) |
|---|---|---|---|---|---|---|---|
| 3月31日 | $ 12,452,825 | $ 123,720,344 | $ 110,846,676 | $ 10,043,243 | $ 61,571,129 | $ 47,956,939 | $ 366,591,156 |
```
