```markdown
# 瑞昱半導體股份有限公司及子公司

## 合併損益表

### 民國112年及111年1月至3月31日

(僅經核閱，未依審計準則查核)

| 項目 | 附註 | 112年1月至3月31日 | 111年1月至3月31日 |
|------|------|------------------|------------------|
| 4000 | 營業收入 | $19,624,903 | $29,756,311 |
| 5000 | 營業成本 | (11,159,345) | (14,226,630) |
| 5950 | 營業毛利淨額 | 8,465,558 | 15,529,681 |
| 6000 | 營業費用 | (782,048) | (1,235,936) |
| 6100 | 推銷費用 | (691,646) | (1,033,549) |
| 6200 | 管理費用 | (5,572,870) | (7,950,943) |
| 6450 | 預期信用減損損失 | (4,446) | (7,598) |
| 6000 | 營業費用合計 | (7,051,010) | (10,228,026) |
| 6900 | 營業利益 | 1,414,548 | 5,301,655 |
| 營業外收入及支出 | | | |
| 7100 | 利息收入 | 530,091 | 74,343 |
| 7010 | 其他收入 | 11,203 | 74,684 |
| 7020 | 其他利益及損失 | (10,844) | (19,827) |
| 7050 | 財務成本 | (63,364) | (22,467) |
| 7060 | 採用權益法認列之關聯企業及合資損益之份額 | (12,624) | (5,704) |
| 7000 | 營業外收入及支出合計 | 454,462 | 101,029 |
| 7900 | 稅前淨利 | 1,869,010 | 5,402,684 |
| 7950 | 所得稅費用 | (75,615) | (216,402) |
| 8200 | 本期淨利 | $1,793,395 | $5,186,282 |

(續 次 頁)
```
