```markdown
# 111年1月1日至9月30日

| 项目 | 金额（美元） |
| --- | --- |
| 应付费用及其他流动负债 | 38,582,192 |
| 其他非流动负债 | 100,127,809 |
| 按公允价值计量的金融资产 | 49,269,573 |
| 取得按摊销后成本计量的金融资产 | 123,508,899 |
| 购买其他综合收益按公允价值计量的权益工具 | 300 |
| 除列避险的金融工具 | 1,591,074 |
| 收取的利息 | 9,440,363 |
| 收取政府补助款 - 不动产、厂房及设备 | 462,822 |
| 收取政府补助款 - 其他 | 874 |
| 收取其他股利 | 260,534 |
| 收取采用权益法投资的股利 | 2,749,667 |
| 取得不动产、厂房及设备 | 745,827,757 |
| 取得无形资产 | 5,471,086 |
| 处分不动产、厂房及设备 | 801,029 |
| 预付租金款增加 | - |
| 存出保证金增加 | 1,904,318 |
| 存出保证金减少 | 437,209 |
| 投资活动之净现金流出 | 848,396,222 |

# 110年1月1日至9月30日

| 项目 | 金额（美元） |
| --- | --- |
| 应付费用及其他流动负债 | 51,695,061 |
| 其他非流动负债 | 89,862,181 |
| 按公允价值计量的金融资产 | 195,441,758 |
| 取得按摊销后成本计量的金融资产 | - |
| 购买其他综合收益按公允价值计量的权益工具 | 115,627 |
| 除列避险的金融工具 | 101,616 |
| 收取的利息 | 4,469,674 |
| 收取政府补助款 - 不动产、厂房及设备 | 522,779 |
| 收取政府补助款 - 其他 | 6,605 |
| 收取其他股利 | 357,214 |
| 收取采用权益法投资的股利 | 2,136,426 |
| 取得不动产、厂房及设备 | 603,639,699 |
| 取得无形资产 | 5,677,525 |
| 处分不动产、厂房及设备 | 213,686 |
| 预付租金款增加 | 1,200,000 |
| 存出保证金增加 | 1,563,585 |
| 存出保证金减少 | 468,477 |
| 投资活动之净现金流出 | 591,022,571 |

# 筹资活动之现金流量

| 项目 | 金额（美元） |
| --- | --- |
| 短期借款增加（减少） | 111,959,992 |
| 发行公司债 | 188,093,561 |
| 偿还公司债 | - |
| 购借长期借款 | 500,000 |
| 支付公司债发行成本 | 403,162 |
| 购回库存股票 | 871,566 |
| 租赁本金偿还 | 1,767,753 |
| 支付利息 | 6,498,170 |
| 收取存入保证金 | 199,190 |
```

(接次页)
