```markdown
|  | 商誉 | 特许权 | 专利权 | 商标权 | 已发展技术 | 客户关系 | 电脑软件成本 | 合计 |
|---|---|---|---|---|---|---|---|---|
| 1月1日 | | | | | | | | |
| 成本 | $18,469,923 | $14,581,255 | $4,301,379 | $9,009,831 | $10,192,291 | $1,610,976 | $8,174,975 | $66,340,630 |
| 累计摊销及减损 | $(2,283,863) | $(5,644,316) | $(3,147,637) | $(935,407) | $(2,548,261) | $(499,868) | $(5,928,441) | $(20,987,793) |
| | $16,186,060 | $8,936,939 | $1,153,742 | $8,074,424 | $7,644,030 | $1,111,108 | $2,246,534 | $45,352,837 |
| 1月1日 | | | | | | | | |
| 新增 | - | - | - | - | - | - | - | 268,578 |
| 企业合并取得 | 1,402,260 | - | 119,297 | - | 401,125 | - | - | 10,754 |
| 摊销费用 | - | $(231,186) | $(55,612) | $(112,717) | $(165,065) | $(29,650) | $(331,401) | $(925,631) |
| 损益差额 | 598,294 | - | 35,925 | 195,856 | 140,289 | $(187,261) | 41,263 | 824,366 |
| 3月31日 | $18,186,614 | $8,705,753 | $1,253,352 | $8,157,563 | $8,020,379 | $894,197 | $2,235,728 | $47,453,586 |
| 3月31日 | | | | | | | | |
| 成本 | $20,548,861 | $14,581,255 | $4,566,149 | $9,077,151 | $10,935,556 | $1,412,461 | $8,553,409 | $69,674,842 |
| 累计摊销及减损 | $(2,362,247) | $(5,875,502) | $(3,312,797) | $(919,588) | $(2,915,177) | $(518,264) | $(6,317,681) | $(22,221,256) |
| | $18,186,614 | $8,705,753 | $1,253,352 | $8,157,563 | $8,020,379 | $894,197 | $2,235,728 | $47,453,586 |
```
