```markdown
# 2. 來自籌資活動之負債之變動

### 111年

|  | 應付短期票券 | 短期借款 | 長期借款 | 應付公司債 | 租賃負債 | 之負債總額 |
|---|---|---|---|---|---|---|
| 1月1日 | $23,999,117 | $546,372,008 | $51,529,648 | $262,656,680 | $25,581,085 | $910,138,538 |
| 繳資現金流量之變動 | 1,825,705 | 158,531,223 | 14,481,692 | (2,300,000) | (7,056,745) | 165,481,875 |
| 其他非現金之變動 | (9,570) | - | 8,943 | 177,979 | 6,444,592 | 6,621,944 |
| 匯率變動之影響 | - | 23,414,444 | 6,620,714 | 10,344,451 | 198,190 | 40,577,799 |
| 9月30日 | $25,815,252 | $728,317,675 | $72,640,997 | $270,879,110 | $25,167,122 | $1,122,820,156 |

### 110年

|  | 應付短期票券 | 短期借款 | 長期借款 | 應付公司債 | 租賃負債 | 之負債總額 |
|---|---|---|---|---|---|---|
| 1月1日 | $39,101,893 | $446,422,100 | $46,311,452 | $243,923,519 | $29,449,012 | $805,207,976 |
| 繳資現金流量之變動 | 5,192,221 | 110,151,315 | 2,048,396 | 11,680,616 | (8,996,080) | 120,076,468 |
| 其他非現金之變動 | 22,152 | 482,541 | 18,048 | 175,084 | 7,573,314 | 8,271,139 |
| 匯率變動之影響 | - | - | (864,832) | (577,324) | 934,301 | (507,855) |
| 9月30日 | $44,316,266 | $557,055,956 | $47,513,064 | $255,201,895 | $28,960,547 | $933,047,728 |

# 七、關係人交易

## (一) 關係人之名稱及關係

| 關係人名稱 | 與本集團之關係 |
|---|---|
| SHARP CORPORATION及其子公司 | 關聯企業 |
| 鴻準精密工業股份有限公司及其子公司 | " |
| 廣宇科技股份有限公司及其子公司 | " |
| ESON PRECISION IND. CO., LTD.及其子公司 | " |
| GENERAL INTERFACE SOLUTION HOLDING LIMITED及其子公司 | " |
| ZHEN DING TECHNOLOGY CO., LTD.及其子公司 | " |
| 樺漢科技股份有限公司及其子公司 | " |
| 建漢科技股份有限公司及其子公司 | " |
| 京鼎精密科技股份有限公司及其子公司 | " |
| 正達光電股份有限公司及其子公司 | " |
| 榮創能源科技股份有限公司 | " |
| 展晶科技(深圳)有限公司 | " |
| 寰永科技股份有限公司 | " |
| 天鈺科技股份有限公司及其子公司 | " |
```
