```markdown
| (二十九)其他權益項目 |  |  |  |  |
| --- | --- | --- | --- | --- |
|  | 未實現評價損益 | 外幣換算 | 避險工具 | 總計 |
| 112年 |  |  |  |  |
| 1月1日 | $14,526,382 | $(96,680,590) | $ | $(82,154,208) |
| 評價調整： |  |  |  |  |
| - 集團 | 2,197,875 | - | - | 2,197,875 |
| - 關聯企業 | 752,399 | - | - | 752,399 |
| 評價調整之稅額 | (225,756) | - | - | (225,756) |
| 評價調整轉出至保留盈餘 | (1,174,578) | - | - | (1,174,578) |
| 外幣換算差異數： |  |  |  |  |
| - 集團 | - | 9,035,250 | - | 9,035,250 |
| - 關聯企業 | - | (460,899) | - | (460,899) |
| 現金流量避險： |  |  |  |  |
| - 公允價值利得 | - | - | 16,482 | 16,482 |
| - 公允價值利得之稅額 | - | - | (2,427) | (2,427) |
| - 轉出至其他損益項目 | - | - | (85,107) | (85,107) |
| 處分採用權益法之投資 | 2 | 827 | - | 829 |
| 3月31日 | $16,076,324 | $(88,105,412) | $ | $(72,100,140) |
|  |  |  |  |  |
| 111年 |  |  |  |  |
| 1月1日 | $56,641,420 | $(146,312,958) | $165,645 | $(89,505,893) |
| 評價調整： |  |  |  |  |
| - 集團 | (8,060,921) | - | - | (8,060,921) |
| - 關聯企業 | (2,585,398) | - | - | (2,585,398) |
| 評價調整之稅額 | 1,039,998 | - | - | 1,039,998 |
| 評價調整轉出至保留盈餘 | (627,644) | - | - | (627,644) |
| 外幣換算差異數： |  |  |  |  |
| - 集團 | - | 57,651,037 | - | 57,651,037 |
| - 關聯企業 | - | 95,293 | - | 95,293 |
| 現金流量避險： |  |  |  |  |
| - 公允價值利得 | - | - | 498,685 | 498,685 |
| - 公允價值利得之稅額 | - | - | 18,366 | 18,366 |
| - 轉出至其他損益項目 | - | - | (621,125) | (621,125) |
| 3月31日 | $46,407,455 | $(88,566,628) | $ | $(42,097,602) |
```
