```markdown
# 111年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($43,314) |
| 支付现金股利 | (213,925,639) |
| 处分子公司股权（未丧失控制力） | - |
| 非控制权益增加（减少） | 16,264,358 |
| 筹资活动之净现金流入（流出） | ($130,412,487) |

# 110年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($36,611) |
| 支付现金股利 | (194,477,853) |
| 处分子公司股权（未丧失控制力） | 9,451,798 |
| 非控制权益增加（减少） | (115,951) |
| 筹资活动之净现金流入（流出） | 54,324,420 |

# 汇率变动对现金及现金等价物的影响

| 项目 | 金额 |
| --- | --- |
| 本期现金及现金等价物净增加数 | 86,114,017 |
| 期初现金及现金等价物余额 | 231,022,592 |
| 期末现金及现金等价物余额 | 1,064,990,192 |

# 111年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($43,314) |
| 支付现金股利 | (213,925,639) |
| 处分子公司股权（未丧失控制力） | - |
| 非控制权益增加（减少） | 16,264,358 |
| 筹资活动之净现金流入（流出） | ($130,412,487) |

# 110年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($36,611) |
| 支付现金股利 | (194,477,853) |
| 处分子公司股权（未丧失控制力） | 9,451,798 |
| 非控制权益增加（减少） | (115,951) |
| 筹资活动之净现金流入（流出） | 54,324,420 |

# 汇率变动对现金及现金等价物的影响

| 项目 | 金额 |
| --- | --- |
| 本期现金及现金等价物净增加数 | 86,114,017 |
| 期初现金及现金等价物余额 | 231,022,592 |
| 期末现金及现金等价物余额 | 1,064,990,192 |

# 111年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($43,314) |
| 支付现金股利 | (213,925,639) |
| 处分子公司股权（未丧失控制力） | - |
| 非控制权益增加（减少） | 16,264,358 |
| 筹资活动之净现金流入（流出） | ($130,412,487) |

# 110年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($36,611) |
| 支付现金股利 | (194,477,853) |
| 处分子公司股权（未丧失控制力） | 9,451,798 |
| 非控制权益增加（减少） | (115,951) |
| 筹资活动之净现金流入（流出） | 54,324,420 |

# 汇率变动对现金及现金等价物的影响

| 项目 | 金额 |
| --- | --- |
| 本期现金及现金等价物净增加数 | 86,114,017 |
| 期初现金及现金等价物余额 | 231,022,592 |
| 期末现金及现金等价物余额 | 1,064,990,192 |

# 111年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($43,314) |
| 支付现金股利 | (213,925,639) |
| 处分子公司股权（未丧失控制力） | - |
| 非控制权益增加（减少） | 16,264,358 |
| 筹资活动之净现金流入（流出） | ($130,412,487) |

# 110年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($36,611) |
| 支付现金股利 | (194,477,853) |
| 处分子公司股权（未丧失控制力） | 9,451,798 |
| 非控制权益增加（减少） | (115,951) |
| 筹资活动之净现金流入（流出） | 54,324,420 |

# 汇率变动对现金及现金等价物的影响

| 项目 | 金额 |
| --- | --- |
| 本期现金及现金等价物净增加数 | 86,114,017 |
| 期初现金及现金等价物余额 | 231,022,592 |
| 期末现金及现金等价物余额 | 1,064,990,192 |

# 111年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($43,314) |
| 支付现金股利 | (213,925,639) |
| 处分子公司股权（未丧失控制力） | - |
| 非控制权益增加（减少） | 16,264,358 |
| 筹资活动之净现金流入（流出） | ($130,412,487) |

# 110年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($36,611) |
| 支付现金股利 | (194,477,853) |
| 处分子公司股权（未丧失控制力） | 9,451,798 |
| 非控制权益增加（减少） | (115,951) |
| 筹资活动之净现金流入（流出） | 54,324,420 |

# 汇率变动对现金及现金等价物的影响

| 项目 | 金额 |
| --- | --- |
| 本期现金及现金等价物净增加数 | 86,114,017 |
| 期初现金及现金等价物余额 | 231,022,592 |
| 期末现金及现金等价物余额 | 1,064,990,192 |

# 111年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($43,314) |
| 支付现金股利 | (213,925,639) |
| 处分子公司股权（未丧失控制力） | - |
| 非控制权益增加（减少） | 16,264,358 |
| 筹资活动之净现金流入（流出） | ($130,412,487) |

# 110年1月1日至9月30日

| 项目 | 金额 |
| --- | --- |
| 存入保证金返还 | ($36,61
