```markdown
| 關係人名稱 | 與本集團之關係 | 關聯企業 |
| --- | --- | --- |
| 君曜科技股份有限公司 | " | " |
| 河南中富康數顯有限公司 | " | " |
| 大灣區半導體(珠海)有限公司 | " | " |
| 蘇湖瑞昌電氣系統有限公司 | " | " |
| 國鈺電子(北海)有限公司 | " | " |
| SAFEDX S.R.O. | " | " |
| 北京恒譽新能源汽車租賃有限公司 | " | " |
| 杭州耕德電子有限公司 | " | " |
| 珠海凌煙閣芯片科技有限公司 | " | " |
| 深圳市茹薇亞科技有限公司 | " | " |
| 創星物聯科技股份有限公司 | " | " |
| 宏康智慧股份有限公司 | " | " |
| 海濱科技(深圳)有限公司 | " | " |
| 牧鋼精密工業有限公司及其子公司 | " | " |
| 周口耕德電子有限公司 | " | " |
| 和誠達科技(深圳)有限公司 | " | " |
| 四川成工富創科技有限公司 | " | " |
| 雲智匯科技服務股份有限公司及其子公司 | " | " |
| 富東群自動化科技(深圳)有限公司 | " | " |
| 湖南富遠智能科技有限公司 | " | " |
| 河南眾馳富聯精工科技有限公司 | " | " |
| 台灣智慧光網股份有限公司 | " | " |
| 重慶元創汽車整線集成有限公司 | " | " |
| 牧氣精密工業(深圳)有限公司 | " | " |
| 深圳市小河電子商務有限公司 | " | " |
| 北京清菡科技有限公司 | " | " |
| 移動商務股份有限公司 | " | " |
| 深圳明騰新材料有限公司 | " | " |
| AMAX ENGINEERING CORPORATION | " | " |
| 菲仕康國際貨運代理(上海)有限公司 | " | " |
| 鶴壁耕德電子有限公司 | " | " |
| 廣東京之映科技有限公司 | " | " |
| 珠海艾盛科技有限公司 | " | " |
| 青島新核芯科技有限公司 | " | " |
| 鼎捷軟件股份有限公司 | " | " |
| 中揚光電股份有限公司 | " | " |
| LINKSYS HK LIMITED | " | " |
| LINKSYS PTE LTD | " | "
```
