### 财务报告分析

#### 1. 现金流量表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金流量表 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 2. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 1,777 | $ 1,750 | $ 2,137 |
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 3. 资产负债表日尚未到期之远期外汇合约之主要条款

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金流量预期 | $ 112.04~115.08 | $ 112.06 | $ 112.06 |
| 合约金额（千元） | NTD4,463,392 / USD162,801 | NTD28,479 / GBP769 | NTD28,479 / GBP769 |

#### 4. 现金流量表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金流量表 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 5. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 1,777 | $ 1,750 | $ 2,137 |
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 6. 资产负债表日尚未到期之远期外汇合约之主要条款

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金流量预期 | $ 112.04~115.08 | $ 112.06 | $ 112.06 |
| 合约金额（千元） | NTD4,463,392 / USD162,801 | NTD28,479 / GBP769 | NTD28,479 / GBP769 |
