### 财务报告

#### 111年3月31日

| 项目 | 111年3月31日 |
|------|--------------|
| 贵金属借料交易合約 | $ 219,717 |
| 账面金额 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| 负债 | $ 219,717 |
| �
