### 财务报告分析

#### 1. 合约资产备抵损失变动信息

| 项目 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|
| 期初余额 | $836,972 | $984,873 |
| 加：本期计提减值损失 | 2,226 | 7,764 |
| 减：转列待出售处置群组 | (630,924) | - |
| 减：转列应收账款备抵损失 | (228,235) | (177,176) |
| 外币换算差额 | 32,736 | 136,351 |
| 期末余额 | $12,775 | $951,812 |

#### 2. 来自年初合约负债于112年及111年1月1日至9月30日认列于营业收入之金额分别为36,771千元及98千元。

#### 3. 客户合同收入之细分

各营运部门间收入之分析，参阅附注三七。

#### 4. 损益表

##### (一) 其他收入

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|----------------------|
| 股利收入 | $ - | $ 3,271 | $ 2,127 | $ 6,985 |
| 其他收入 | 168,934 | 174,730 | 662,714 | 480,083 |
| 合计 | $ 168,934 | $ 178,001 | $ 664,841 | $ 487,068 |

##### (二) 其他利益及损失

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|----------------------|----------------------|----------------------|----------------------|
| 透过损益按公允价值衡量之金融商品净益 | $1,966,613 | $2,303,961 | $3,041,780 | $3,311,531 |
| 外币兑换净损 | (1,160,812) | (1,596,034) | (1,287,538) | (2,688,381) |
| 处分不动产、厂房及设备净益 | (509) | 2,325 | 3,980 | 14,106 |
| 处分关联企业净损 | (9,897) | - | (9,897) | - |
| 什项支出 | (170,123) | (66,305) | (423,184) | (206,280) |
| 减损损失 | (73) | (819) | (591) | (1,301) |
| 合计 | $ 625,199 | $ 643,128 | $1,324,550 | $ 429,675 |

### 结论

通过以上财务报告分析，我们可以看到公司在不同时间段的收入和支出情况。在其他收入方面，公司主要通过股利收入和其他收入获得收入。在其他利益及损失方面，公司通过金融商品净益、外币兑换净损、处分不动产、厂房及设备净益、处分关联企业净损、什项支出和减损损失等方面获得或损失收入。这些数据有助于我们了解公司的财务状况和经营情况。
