### 财务报告

#### (承前页)

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 国际电信 | | | | |
| 固网服务 | $ 1,224,153 | $ 1,219,785 | $ 3,709,200 | $ 3,702,161 |
| 专案业务 | 363,894 | 146,787 | 1,111,653 | 522,915 |
| 其他 | 213,047 | 102,664 | 452,811 | 242,847 |
| 总计 | 1,801,094 | 1,469,236 | 5,273,664 | 4,467,923 |
| 其他 | | | | |
| 销货收入 | 1,278,138 | 1,129,717 | 3,364,893 | 3,026,512 |
| 其他 | 208,769 | 120,234 | 576,352 | 690,382 |
| 总计 | 1,486,907 | 1,249,951 | 3,941,245 | 3,716,894 |
| 总计 | $ 53,507,811 | $ 50,885,502 | $ 157,238,260 | $ 150,587,632 |

#### (承前页)

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 国际电信 | | | | |
| 固网服务 | $ 1,224,153 | $ 1,219,785 | $ 3,709,200 | $ 3,702,161 |
| 专案业务 | 363,894 | 146,787 | 1,111,653 | 522,915 |
| 其他 | 213,047 | 102,664 | 452,811 | 242,847 |
| 总计 | 1,801,094 | 1,469,236 | 5,273,664 | 4,467,923 |
| 其他 | | | | |
| 销货收入 | 1,278,138 | 1,129,717 | 3,364,893 | 3,026,512 |
| 其他 | 208,769 | 120,234 | 576,352 | 690,382 |
| 总计 | 1,486,907 | 1,249,951 | 3,941,245 | 3,716,894 |
| 总计 | $ 53,507,811 | $ 50,885,502 | $ 157,238,260 | $ 150,587,632 |

#### (承前页)

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 国际电信 | | | | |
| 固网服务 | $ 1,224,153 | $ 1,219,785 | $ 3,709,200 | $ 3,702,161 |
| 专案业务 | 363,894 | 146,787 | 1,111,653 | 522,915 |
| 其他 | 213,047 | 102,664 | 452,811 | 242,847 |
| 总计 | 1,801,094 | 1,469,236 | 5,273,664 | 4,467,923 |
| 其他 | | | | |
| 销货收入 | 1,278,138 | 1,129,717 | 3,364,893 | 3,026,512 |
| 其他 | 208,769 | 120,234 | 576,352 | 690,382 |
| 总计 | 1,486,907 | 1,249,951 | 3,941,245 | 3,716,894 |
| 总计 | $ 53,507,811 | $ 50,885,502 | $ 157,238,260 | $ 150,587,632 |

#### (承前页)

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 国际电信 | | | | |
| 固网服务 | $ 1,224,153 | $ 1,219,785 | $ 3,709,200 | $ 3,702,161 |
| 专案业务 | 363,894 | 146,787 | 1,111,653 | 522,915 |
| 其他 | 213,047 | 102,664 | 452,811 | 242,847 |
| 总计 | 1,801,094 | 1,469,236 | 5,273,664 | 4,467,923 |
| 其他 | | | | |
| 销货收入 | 1,278,138 | 1,129,717 | 3,364,893 | 3,026,512 |
| 其他 | 208,769 | 120,234 | 576,352 | 690,382 |
| 总计 | 1,486,907 | 1,249,951 | 3,941,245 | 3,716,894 |
| 总计 | $ 53,507,811 | $ 50,885,502 | $ 157,238,260 | $ 150,587,632 |

#### (承前页)

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 | 111年1月1日至9月30日 | 110年1月1日至9月30日 |
|------|---------------------|----------------
