### 财务报告

#### 112年度第一次海外无担保可转换公司债

**112年9月30日**

| 项目 | 金额（千美元） |
|------|-----------------|
| 110年12月发行价款（减除交易成本232,461千美元） | $21,967,539 |
| 购回选择权衍生工具（账列透过损益按公允价值衡量之金融负债）及交易成本 | (215,282) |
| 权益组成部分（减除分摊之交易成本14,157千美元） | (1,337,823) |
| 发行日负债组成部分（减除分摊之交易成本216,026千美元） | 20,414,434 |
| 以有效利率计算之利息 | 371,013 |
| 111年12月31日负债组成部分 | 20,785,447 |
| 以有效利率计算之利息 | 264,394 |
| 112年9月30日负债组成部分 | $21,049,841 |

**111年9月30日**

| 项目 | 金额（千美元） |
|------|-----------------|
| 110年12月发行价款（减除交易成本232,461千美元） | $21,967,539 |
| 购回选择权衍生工具（账列透过损益按公允价值衡量之金融负债）及交易成本 | (215,282) |
| 权益组成部分（减除分摊之交易成本14,157千美元） | (1,337,823) |
| 发行日负债组成部分（减除分摊之交易成本216,026千美元） | 20,414,434 |
| 以有效利率计算之利息 | 22,701 |
| 110年12月31日负债组成部分 | 20,437,135 |
| 以有效利率计算之利息 | 259,963 |
| 111年9月30日负债组成部分 | $20,697,098 |

#### 112年度第一次海外无担保可转换公司债

本公司于112年8月经董事会决议发行112年第一次海外无担保可转换公司债，本案业经金融监督管理委员会112年10月2日金管证发字第11203562931号申报生效，并于112年10月24日于新加坡证券交易所公开发行，发行期间5年，到期日117年10月24日，发行总金额为420,000千美元，票面利率0%。本公司应于到期日，
