### 财务报告

#### 应收账款备抵损失之变动资讯如下：

| 项目 | 112年1月1日 | 111年1月1日 |
|------|--------------|--------------|
| 期初余额 | $ 153,739 | $ 161,334 |
| 本期转回 | (3,451) | (22) |
| 损益调整差额 | (49) | 768 |
| 期末余额 | $ 150,239 | $ 162,080 |

#### 本公司及子公司中鸿公司部分应收账款与兆丰银行等多家金融机构签订无追索权之「应收账款承购约定书」。依据合约，于本公司及子公司出货予客户后，即产生应收账款移转银行之效力，双方并依约于次一银行营业日完成相关手续。

#### 112及111年1月1日至3月31日本公司及子公司中鸿公司出售应收账款之相关资料汇总示如下：

| 交易对象 | 112年1月1日 | 111年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 4,858,329 | $ 7,264,114 |
| 本期转回 | $ 4,424,703 | $ 7,405,808 |
| 期末余额 | $ 4,703,502 | $ 8,800,264 |

#### 112年1月1日至3月31日
| 交易对象 | 112年1月1日 | 111年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 1,168,020 | $ 2,045,351 |
| 本期转回 | $ 750,729 | $ 1,262,273 |
| 本期转回 | $ 800,028 | $ 1,636,794 |
| 期末余额 | $ 1,118,721 | $ 1,670,830 |
| 年利率% | 1.00～2.33 | 0.98～1.61 |
| 金额 | 90亿元 | 90亿元 |

#### 111年1月1日至3月31日
| 交易对象 | 112年1月1日 | 111年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 764,251 | $ 1,632,110 |
| 本期转回 | $ 920,866 | $ 979,818 |
| 本期转回 | $ 764,378 | $ 1,539,227 |
| 期末余额 | $ 920,739 | $ 1,072,701 |
| 年利率% | 2.10～5.75 | 0.82～0.85 |
| 金额 | 21亿元 | 30亿元 |

#### 112年1月1日至3月31日
| 交易对象 | 112年1月1日 | 111年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 3,044 | $ 7431 |
| 本期转回 | $ 108,910 | $ 202,310 |
| 本期转回 | $ 102,656 | $ 191,080 |
| 期末余额 | $ 9,298 | $ 18,661 |
| 年利率% | 3.25～4.72 | 0.94～0.95 |
| 金额 | 1.3亿元 | 0.1亿元 |

#### 111年1月1日至3月31日
| 交易对象 | 112年1月1日 | 111年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 224,382 | $ 453,536 |
| 本期转回 | $ 59,256 | $ 429,804 |
| 本期转回 | $ 193,605 | $ 295,437 |
| 期末余额 | $ 90,033 | $ 587,903 |
| 年利率% | 1.96 | 1.04 |
| 金额 | 5.3亿元 | 8.41亿元 |

#### 112年1月1日至3月31日
| 交易对象 | 112年1月1日 | 111年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 10,293 | $ 46,016 |
| 本期转回 | $ 770 | $ 78,535 |
| 本期转回 | $ 10,293 | $ 29,810 |
| 期末余额 | $ 770 | $ 94,741 |
| 年利率% | 1.93 | 1.04 |
| 金额 | 2亿元 | 2亿元 |

#### 111年1月1日至3月31日
| 交易对象 | 112年1月1日 | 111年1月1日 |
|----------|--------------|--------------|
| 期初余额 | $ 9,108 | $ 22,479 |
| 本期转回 | - | $ 11,818 |
| 期末余额 | - | $ 34,297 |
| 年利率% | - | 1.60 |
| 金额 | - | 美金0.2亿元 |
