### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司 | 子公司 | 业务性质 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 说明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 22.      | DHK    | 经营电源供应器等电子产品之制造及销售业务 | -             | -             | 100.00      | (注1) |
| 23.      |        | 产品外观设计之技术服务及管理咨询及各类电子产品分销等业务 | 100.00        | 100.00        | 100.00      |      |
| 24.      |        | 经营变压器及电源供应器等电子产品之制造及销售业务 | 100.00        | 100.00        | 100.00      |      |
| 25.      |        | 经营LED灯源及电源供应器等电子产品之制造及销售业务 | 100.00        | 100.00        | 100.00      |      |
| 26.      |        | 经营变压器等电子产品之制造及销售业务 | 100.00        | 100.00        | 100.00      |      |
| 27.      |        | 技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；电子元器件制造；电子元器件批发；电子元器件零售；模具制造；模具销售；锻件及粉末冶金制品制造；锻件及粉末冶金制品销售、货物进出口；技术进出口 | 100.00        | 100.00        | 100.00      | (注1) |

#### 文本输出

| 投资公司 | 子公司 | 业务性质 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 说明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 22.      | DHK    | 经营电源供应器等电子产品之制造及销售业务 | -             | -             | 100.00      | (注1) |
| 23.      |        | 产品外观设计之技术服务及管理咨询及各类电子产品分销等业务 | 100.00        | 100.00        | 100.00      |      |
| 24.      |        | 经营变压器及电源供应器等电子产品之制造及销售业务 | 100.00        | 100.00        | 100.00      |      |
| 25.      |        | 经营LED灯源及电源供应器等电子产品之制造及销售业务 | 100.00        | 100.00        | 100.00      |      |
| 26.      |        | 经营变压器等电子产品之制造及销售业务 | 100.00        | 100.00        | 100.00      |      |
| 27.      |        | 技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；电子元器件制造；电子元器件批发；电子元器件零售；模具制造；模具销售；锻件及粉末冶金制品制造；锻件及粉末冶金制品销售、货物进出口；技术进出口 | 100.00        | 100.00        | 100.00      | (注1) |
