### 财务报告

#### 1. 流动资产
| 代 码 | 资 产 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------|--------------|---------------|--------------|
| 1100 | 现金及等同现金（附注六） | $ 5,264,114 | $ 6,345,451 | $ 2,777,375 |
| 1110 | 透过损益按公允价值衡量之金融资产－流动（附注七） | 10,001 | 2,163 | 127,933 |
| 1136 | 按摊销后成本衡量之金融资产－流动（附注八及三十） | 161,870 | 260,263 | 497,891 |
| 1150 | 应收票据（附注九） | 3,555,386 | 2,937,652 | 1,744,267 |
| 1170 | 应收帐款（附注九及二九） | 6,894,871 | 6,112,157 | 6,391,418 |
| 1200 | 其他应收款 | 26,445 | 20,495 | 19,522 |
| 1220 | 本期所得税资产（附注四） | 13,909 | 13,414 | 14,287 |
| 130X | 存货（附注十） | 7,210,991 | 7,250,257 | 5,893,981 |
| 1470 | 其他流动资产（附注十五） | 287,860 | 312,263 | 300,698 |
| 11XX | 流动资产总计 | 23,425,447 | 23,254,115 | 17,767,372 |

#### 2. 非流动资产
| 代 码 | 资 产 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------|--------------|---------------|--------------|
| 1600 | 不动产、厂房及设备（附注十二及三十） | 29,051,016 | 28,829,175 | 26,671,077 |
| 1755 | 使用权资产（附注十三） | 977,706 | 982,607 | 1,024,517 |
| 1760 | 投资性不动产（附注十四） | 24,651 | 24,692 | - |
| 1780 | 其他无形资产 | 38,338 | 40,793 | 49,132 |
| 1840 | 遗留所得税资产（附注四及二三） | 368,651 | 392,392 | 534,284 |
| 1990 | 其他非流动资产（附注十五） | 989,985 | 1,075,773 | 1,885,594 |
| 15XX | 非流动资产总计 | 31,450,347 | 31,345,432 | 30,164,604 |

#### 3. 资产总计
| 代 码 | 资 产 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------|--------------|---------------|--------------|
| 1XXX | 资产总计 | $ 54,875,794 | $ 54,599,547 | $ 47,931,976 |

#### 4. 负债及权益
| 代 码 | 负 债 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------|--------------|---------------|--------------|
| 2100 | 短期借款（附注十六） | $ 9,662,421 | $ 10,781,921 | $ 2,767,210 |
| 2110 | 应付短期票据（附注十六） | 300,000 | 500,000 | 468,000 |
| 2130 | 合约负债－流动（附注二一） | 67,243 | 78,256 | 98,407 |
| 2150 | 应付票据（附注十七） | 154,566 | 205,746 | 192,219 |
| 2170 | 应付帐款（附注十七） | 870,816 | 1,085,319 | 1,141,721 |
| 2280 | 租赁负债－流动（附注十三） | 67,377 | 66,019 | 61,056 |
| 2200 | 其他应付款（附注十八） | 3,995,158 | 1,478,211 | 4,058,863 |
| 2230 | 本期所得税负债（附注四） | 527,440 | 411,459 | 535,114 |
| 2320 | 一年内到期之长期借款（附注十六及三十） | 319 | - | 2,523,249 |
| 2399 | 其他流动负债（附注十八） | 386,238 | 326,623 | 231,015 |
| 21XX | 流动负债总计 | 16,031,578 | 14,933,554 | 12,076,854 |

| 代 码 | 负 债 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------|--------------|---------------|--------------|
| 2540 | 长期借款（附注十六及三十） | 9,886 | - | - |
| 2580 | 租赁负债－非流动（附注十三） | 116,253 | 122,477 | 137,147 |
| 2570 | 遗留所得税负债（附注四及二三） | 693,289 | 610,426 | 477,940 |
| 25XX | 非流动负债总计 | 819,428 | 732,903 | 615,087 |

| 代 码 | 负 债 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------|--------------|---------------|--------------|
| 2XXX | 负债总计 | 16,851,006 | 15,666,457 | 12,691,941 |

#### 5. 归属于本公司股东的权益
| 代 码 | 股 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|------|--------------|---------------|--------------|
| 3110
