### 财务报告

#### (二) 资本公积

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 8,329,159 | 8,329,159 | 7,336,666 |
| 其他 | 44,523 | 44,523 | 44,523 |
| 总计 | $ 39,528,448 | $ 39,528,448 | $ 38,535,955 |

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 8,329,159 | 8,329,159 | 7,336,666 |
| 其他 | 44,523 | 44,523 | 44,523 |
| 总计 | $ 39,528,448 | $ 39,528,448 | $ 38,535,955 |

#### 资本公积

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 8,329,159 | 8,329,159 | 7,336,666 |
| 其他 | 44,523 | 44,523 | 44,523 |
| 总计 | $ 39,528,448 | $ 39,528,448 | $ 38,535,955 |

#### 资本公积

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 8,329,159 | 8,329,159 | 7,336,666 |
| 其他 | 44,523 | 44,523 | 44,523 |
| 总计 | $ 39,528,448 | $ 39,528,448 | $ 38,535,955 |

#### 资本公积

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 8,329,159 | 8,329,159 | 7,336,666 |
| 其他 | 44,523 | 44,523 | 44,523 |
| 总计 | $ 39,528,448 | $ 39,528,448 | $ 38,535,955 |

#### 资本公积

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 8,329,159 | 8,329,159 | 7,336,666 |
| 其他 | 44,523 | 44,523 | 44,523 |
| 总计 | $ 39,528,448 | $ 39,528,448 | $ 38,535,955 |

#### 资本公积

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 8,329,159 | 8,329,159 | 7,336,666 |
| 其他 | 44,523 | 44,523 | 44,523 |
| 总计 | $ 39,528,448 | $ 39,528,448 | $ 38,535,955 |

#### 资本公积

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 8,329,159 | 8,329,159 | 7,336,666 |
| 其他 | 44,523 | 44,523 | 44,523 |
| 总计 | $ 39,528,448 | $ 39,528,448 | $ 38,535,955 |

#### 资本公积

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 8,329,159 | 8,329,159 | 7,336,666 |
| 其他 | 44,523 | 44,523 | 44,523 |
| 总计 | $ 39,528,448 | $ 39,528,448 | $ 38,535,955 |

#### 资本公积

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 股票发行溢价 | $ 31,154,766 | $ 31,154,766 | $ 31,154,766 |
| 基金股票交易 | 
