### 财务报告分析

#### 1. 现金流量表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金流量表 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 2. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 1,777 | $ 1,750 | $ 2,137 |
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 3. 利润表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 利润 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 4. 资产负债表日尚未到期之远期外汇合约之主要条款

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 5. 资产负债表日尚未到期之远期外汇合约之主要条款

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 6. 利润表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 利润 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 7. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 1,777 | $ 1,750 | $ 2,137 |
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 8. 利润表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 利润 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 9. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 1,777 | $ 1,750 | $ 2,137 |
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 10. 利润表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 利润 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 11. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 1,777 | $ 1,750 | $ 2,137 |
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 12. 利润表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 利润 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 13. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 1,777 | $ 1,750 | $ 2,137 |
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 14. 利润表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 利润 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 15. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 1,777 | $ 1,750 | $ 2,137 |
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 16. 利润表

| 项目 | 1
