### 财务报告

#### 112年3月31日

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 庫存现金 | $ 23,620,930 | $ 23,508,670 | $ 23,508,670 |
| 活期存款 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 112年1月1日至3月31日

| 项目 | 112年1月1日至3月31日 | 111年1月1日至3月31日 |
|------|------------------------|------------------------|
| 庫存现金 | $ 23,620,930 | $ 23,508,670 |
| 活期存款 | 25,699,639 | 33,243,220 |
| 总计 | $ 77,674,551 | $ 91,065,529 |

#### 111年1月1日至3月31日

| 项目 | 111年1月1日至3月31日 | 111年3月31日 |
|------|------------------------|--------------|
| 庫存现金 | $ 23,508,670 | $ 23,508,670 |
| 活期存款 | 33,243,220 | 39,578,483 |
| 总计 | $ 91,065,529 | $ 68,517,225 |

#### 111年1月1日余额

| 项目 | 111年1月1日余额 | 111年3月31日余额 |
|------|------------------|------------------|
| 庫存现金 | $ 23,508,670 | $ 23,508,670 |
| 活期存款 | 33,243,220 | 39,578,483 |
| 总计 | $ 91,065,529 | $ 68,517,225 |

#### 112年3月31日余额

| 项目 | 112年3月31日余额 | 111年12月31日余额 |
|------|------------------|------------------|
| 庫存现金 | $ 23,620,930 | $ 23,508,670 |
| 活期存款 | 25,699,639 | 33,243,220 |
| 总计 | $ 77,674,551 | $ 91,065,529 |

#### 112年1月1日至3月31日余额

| 项目 | 112年1月1日至3月31日余额 | 111年1月1日至3月31日余额 |
|------|--------------------------|--------------------------|
| 庫存现金 | $ 23,620,930 | $ 23,508,670 |
| 活期存款 | 25,699,639 | 33,243,220 |
| 总计 | $ 77,674,551 | $ 91,065,529 |

#### 111年1月1日至3月31日余额

| 项目 | 111年1月1日至3月31日余额 | 111年3月31日余额 |
|------|--------------------------|--------------------------|
| 庫存现金 | $ 23,508,670 | $ 23,508,670 |
| 活期存款 | 33,243,220 | 39,578,483 |
| 总计 | $ 91,065,529 | $ 68,517,225 |

#### 111年1月1日余额

| 项目 | 111年1月1日余额 | 111年3月31日余额 |
|------|------------------|--------------|
| 庫存现金 | $ 23,508,670 | $ 23,508,670 |
| 活期存款 | 33,243,220 | 39,578,483 |
| 总计 | $ 91,065,529 | $ 68,517,225 |

#### 112年3月31日余额

| 项目 | 112年3月31日余额 | 111年12月31日余额 |
|------|------------------|--------------|
| 庫存现金 | $ 23,620,930 | $ 23,508,670 |
| 洴期存款 | 25,699,639 | 33,243,220 |
| 总计 | $ 77,674,551 | $ 91,065,529 |

#### 112年1月1日至3月31日余额

| 项目 | 112年1月1日至3月31日余额 | 111年1月1日至3月31日余额 |
|------|--------------------------|--------------------------|
| 庫存现金 | $ 23,620,930 | $ 23,508,670 |
| 洴期存款 | 25,699,639 | 33,243,220 |
| 总计 | $ 77,674,551 | $ 91,065,529 |

#### 111年1月1日至3月31日余额

| 项目 | 111年1月1日至3月31日余额 | 111年3月31日余额 |
|------|--------------------------|--------------|
| 庫存现金 | $ 23,508,670 | $ 23,508,670 |
| 洴期存款 | 33,243,220 | 39,578,483 |
| 总计 | $ 91,065,529 | $ 68,517,225 |

#### 111年1月1日余额

| 项目 | 111年1月1日余额 | 111年3月31日余额 |
|------|------------------|--------------|
| 庫存现金 | $ 23,508,670 | $ 23,508,670 |
| 洗期存款 | 33,243,220 | 39,578,483 |
| 总计 | $ 91,065,529 | $ 68,517,225 |

#### 112年3月31日余额

| 项目 | 112年3月31日余额 | 111年12月31日余额 |
|------|------------------|--------------|
| 庫存现金 | $ 23,620,930 | $ 23,508,670 |
| 洗期存款 | 25,699,639 | 33,243,220 |
| 总计 | $ 77,674,551 | $ 91,065,529 |

#### 112年1月1日至3月31日余额

| 项目 | 112年1月1日至3月31日余额 | 111年1月1日至3月31日余额 |
|------|--------------------------|--------------------------|
| 庫存现金 | $ 23,620,
