### 财务报告

#### 与关系人之重大交易事项

#### (二) 与关系人之重大交易事项

#### 1. 收入

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 销货收入： | | |
| - 关联企业 | | |
| 中部 | $6,259,644 | $5,676,716 |
| 桃苗 | 5,801,659 | 5,134,855 |
| 北都 | 4,457,180 | 4,298,889 |
| 国都 | 3,932,941 | 4,166,002 |
| 其他 | 9,550,015 | 8,431,191 |
| - 主要管理阶层控制之个体 | | |
| 总计 | 20,503 | 27,785 |
| | $30,021,942 | $27,735,438 |

#### 2. 支出

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 销货支出： | | |
| - 关联企业 | | |
| 中部 | $5,676,716 | $5,134,855 |
| 桃苗 | 4,298,889 | 4,166,002 |
| 北都 | 3,931,191 | 3,932,941 |
| 国都 | 8,431,191 | 8,431,191 |
| 其他 | 20,503 | 27,785 |
| - 主要管理阶层控制之个体 | | |
| 总计 | 27,785 | 30,021,942 |
| | $27,735,438 | $30,021,942 |

#### 3. 利润

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 利润： | | |
| - 关联企业 | | |
| 中部 | $582,928 | $541,861 |
| 桃苗 | 662,764 | 568,004 |
| 北都 | 525,299 | 432,887 |
| 国都 | 491,950 | 534,061 |
| 其他 | 7,550,015 | 8,594,247 |
| - 主要管理阶层控制之个体 | | |
| 总计 | 20,503 | 27,785 |
| | $30,021,942 | $27,735,438 |

#### 4. 资产负债表

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 资产： | | |
| - 关联企业 | | |
| 中部 | $5,676,716 | $5,134,855 |
| 桃苗 | 4,298,889 | 4,166,002 |
| 北都 | 3,931,191 | 3,932,941 |
| 国都 | 8,431,191 | 8,431,191 |
| 其他 | 20,503 | 27,785 |
| - 主要管理阶层控制之个体 | | |
| 总计 | 27,785 | 30,021,942 |
| | $30,021,942 | $30,021,942 |

#### 5. 现金流量表

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 现金流量： | | |
| - 关联企业 | | |
| 中部 | $5,676,716 | $5,134,855 |
| 桃苗 | 4,298,889 | 4,166,002 |
| 北都 | 3,931,191 | 3,932,941 |
| 国都 | 8,431,191 | 8,431,191 |
| 其他 | 20,503 | 27,785 |
| - 主要管理阶层控制之个体 | | |
| 总计 | 27,785 | 30,021,942 |
| | $30,021,942 | $30,021,942 |

#### 6. 股东权益变动表

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 股东权益变动： | | |
| - 关联企业 | | |
| 中部 | $5,676,716 | $5,134,855 |
| 桃苗 | 4,298,889 | 4,166,002 |
| 北都 | 3,931,191 | 3,932,941 |
| 国都 | 8,431,191 | 8,431,191 |
| 其他 | 20,503 | 27,785 |
| - 主要管理阶层控制之个体 | | |
| 总计 | 27,785 | 30,021,942 |
| | $30,021,942 | $30,021,942 |

#### 7. 其他财务信息

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 其他财务信息： | | |
| - 关联企业 | | |
| 中部 | $5,676,716 | $5,134,855 |
| 桃苗 | 4,298,889 | 4,166,002 |
| 北都 | 3,931,191 | 3,932,941 |
| 国都 | 8,431,191 | 8,431,191 |
| 其他 | 20,503 | 27,785 |
| - 主要管理阶层控制之个体 | | |
| 总计 | 27,785 | 30,021,942 |
| | $30,021,942 | $30,021,942 |

#### 8. 附注

| 项目 | 111年7月1日至9月30日 | 110年7月1日至9月30日 |
|------|----------------------|----------------------|
| (1) 附注： | | |
| - 关联企业 | | |
| 中部 | $5,676,716 | $5,134,855 |
| 桃苗 | 4,298,889 | 4,166,002 |
| 北都 | 3,931,191 | 3,932,941 |
| 国都 | 8,431,191 | 8,431,
