### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司 | 子公司 | 業務性質 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 28.      | DHK、DIH | Delta Electronics International Mexico S.A. DE C.V. (DEIL-MX) | 100.00        | 100.00        | 100.00       | （註1）（註2）（註19） |
| 29.      | DHK    | 達而泰(天津)實業有限公司（達而泰） | 100.00        | 100.00        | 100.00       | （註1）（註2） |
| 30.      | "      | 台達電子(平潭)有限公司（台達電子平潭） | 100.00        | 100.00        | 100.00       | （註1）（註2） |
| 31.      | DEJ    | Addtron Technology (Japan), Inc. (AT Japan) | 100.00        | 100.00        | 100.00       | （註2） |
| 32.      | "      | Delta Electronics (Korea), Inc. (Delta Korea) | 100.00        | 100.00        | 100.00       | （註2） |
| 33.      | 台達電子郴州 | 郴州台達科技有限公司（郴州台達科技） | 100.00        | 100.00        | 100.00       | 100.00 |
| 34.      | 台達企管、中達電通 | 上海中達能源科技有限公司（上海中達能源） | 100.00        | 100.00        | 100.00       | （註1）（註2） |
| 35.      | DNH    | Delta Networks, Inc. (DNI Cayman) | 100.00        | 100.00        | 100.00       | 100.00 |
| 36.      | DNI Cayman | Delta Networks (HK) Limited (DNHK) | 100.00        | 100.00        | 100.00       | 100.00 |

#### 文本输出

| 投资公司 | 子公司 | 業務性質 | 111年3月31日 | 110年12月31日 | 110年3月31日 | 說明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 28.      | DHK、DIH | Delta Electronics International Mexico S.A. DE C.V. (DEIL-MX) | 100.00        | 100.00        | 100.00       | （註1）（註2）（註19） |
| 29.      | DHK    | 達而泰(天津)實業有限公司（達而泰） | 100.00        | 100.00        | 100.00       | （註1）（註2） |
| 30.      | "      | 台達電子(平潭)有限公司（台達電子平潭） | 100.00        | 100.00        | 100.00       | （註1）（註2） |
| 31.      | DEJ    | Addtron Technology (Japan), Inc. (AT Japan) | 100.00        | 100.00        | 100.00       | （註2） |
| 32.      | "      | Delta Electronics (Korea), Inc. (Delta Korea) | 100.00        | 100.00        | 100.00       | （註2） |
| 33.      | 台達電子郴州 | 郴州台達科技有限公司（郴州台達科技） | 100.00        | 100.00        | 100.00       | 100.00 |
| 34.      | 台達企管、中達電通 | 上海中達能源科技有限公司（上海中達能源） | 100.00        | 100.00        | 100.00       | （註1）（註2） |
| 35.      | DNH    | Delta Networks, Inc. (DNI Cayman) | 100.00        | 100.00        | 100.00       | 100.00 |
| 36.      | DNI Cayman | Delta Networks (HK) Limited (DNHK) | 100.00        | 100.00        | 100.00       | 100.00 |
