### 财务报告表格数据输出

#### Markdown表格格式

| 投资公司 | 子公司 | 业务性质 | 111年3月31日 | 111年12月31日 | 111年3月31日 | 说明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 68.      | DHK    | 易达电源科技(东莞)有限公司 | -             | -             | 100.00       | (注1) (注18) |
| 69.      | DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (USA) INC. | 100.00        | 100.00        | 100.00      |  |
| 70.      | DELTA ELECTRONICS (USA) INC. | DELTA ELECTRONICS (ARGENTINA) S.R.L. | 100.00        | 100.00        | 100.00      | (注1) (注2) |
| 71.      | DEN、DELTA ELECTRONICS (USA) INC. | ELTEK SISTEMAS DE ENERGIA INDUSTRIA E COMERCIO LTDA. | 100.00        | 100.00        | 100.00      | (注1) (注2) (注24) |
| 72.      | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (PERU) INC. S.R.L. | 100.00        | 100.00        | 100.00      | (注1) (注2) |
| 73.      | DELTA ELECTRONICS (USA) INC. | DELTA ELECTRONICS (COLOMBIA) S.A.S. | 100.00        | 100.00        | 100.00      | (注1) (注2) |
| 74.      | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | Eltekenergy Services, S.A. de C.V. | 100.00        | 100.00        | 100.00      | (注1) (注2) |

#### 文本输出

| 投资公司 | 子公司 | 业务性质 | 111年3月31日 | 111年12月31日 | 111年3月31日 | 说明 |
|----------|--------|----------|--------------|---------------|--------------|------|
| 68.      | DHK    | 易达电源科技(东莞)有限公司 | -             | -             | 100.00       | (注1) (注18) |
| 69.      | DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (USA) INC. | 100.00        | 100.00        | 100.00      |  |
| 70.      | DELTA ELECTRONICS (USA) INC. | DELTA ELECTRONICS (ARGENTINA) S.R.L. | 100.00        | 100.00        | 100.00      | (注1) (注2) |
| 71.      | DEN、DELTA ELECTRONICS (USA) INC. | ELTEK SISTEMAS DE ENERGIA INDUSTRIA E COMERCIO LTDA. | 100.00        | 100.00        | 100.00      | (注1) (注2) (注24) |
| 72.      | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | DELTA ELECTRONICS (PERU) INC. S.R.L. | 100.00        | 100.00        | 100.00      | (注1) (注2) |
| 73.      | DELTA ELECTRONICS (USA) INC. | DELTA ELECTRONICS (COLOMBIA) S.A.S. | 100.00        | 100.00        | 100.00      | (注1) (注2) |
| 74.      | DELTA ELECTRONICS (USA) INC.、DELTA ELECTRONICS HOLDING (USA) INC. | Eltekenergy Services, S.A. de C.V. | 100.00        | 100.00        | 100.00      | (注1) (注2) |
