### 财务报告

#### 二三、收入

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 营业收入 | $27,002,293 | $31,123,036 | $80,966,464 | $79,274,330 |

#### 二四、合约负债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 | 111年1月1日 |
|------|--------------|---------------|--------------|--------------|
| 应收票据及账款（附注九） | $29,029,121 | $34,599,483 | $32,794,796 | $35,483,726 |
| 合约资产（账列其他流动资产） | $69,195 | $548,725 | $158,455 | $179,035 |
| 合约负债 | $4,372,004 | $1,774,714 | $2,507,559 | $1,439,222 |

#### 二五、本期净利

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 折旧及摊销 | $1,881,536 | $1,657,312 | $5,470,194 | $4,760,382 |
| 不动产、厂房及设备 | $233,125 | $225,843 | $698,470 | $673,513 |
| 投资性不动产 | 5,182 | 5,327 | 15,529 | 15,846 |
| 总计 | $2,119,843 | $1,888,482 | $6,184,193 | $5,449,741 |

#### 二六、其他

| 项目 | 112年7月1日至9月30日 | 111年7月1日至9月30日 | 112年1月1日至9月30日 | 111年1月1日至9月30日 |
|------|---------------------|---------------------|---------------------|---------------------|
| 营业成本 | $2,034,998 | $1,753,835 | $5,666,664 | $5,054,540 |
| 营业费用 | 84,845 | 134,647 | 517,529 | 395,201 |
| 总计 | $2,119,843 | $1,888,482 | $6,184,193 | $5,449,741 |

### 结论

以上财务报告展示了公司收入、合约负债、折旧及摊销、营业成本和营业费用等关键财务指标。通过这些数据，可以对公司财务状况和经营业绩有更深入的了解。
