以下是根据提供的PDF财务报告图像提取的文本和表格数据：

### 文本输出
研华股份有限公司及子公司
合併綜合損益表
民国111年及110年1月至3月31日
（僅經核閱，未依一般公認審計準則查核）

单位：新台币仟元
（除每股盈餘为新台币元外）

### 表格数据输出
| 项目 | 111年1月至3月31日 | 110年1月至3月31日 |
|------|------------------|------------------|
| 4000 營業收入 | $16,119,517 | $13,161,403 |
| 5000 營業成本 | (9,962,306) | (7,952,766) |
| 5950 營業毛利淨額 | 6,157,211 | 5,208,637 |
| 6100 推銷費用 | (1,307,670) | (1,197,300) |
| 6200 管理費用 | (701,599) | (669,818) |
| 6300 研究發展費用 | (1,122,758) | (1,046,693) |
| 6450 預期信用減損損失 | (10,509) | - |
| 6000 營業費用合計 | (3,142,536) | (2,921,776) |
| 6900 營業利益 | 3,014,675 | 2,286,861 |
| 營業外收入及支出 | | |
| 7100 利息收入 | 4,784 | 10,124 |
| 7010 其他收入 | 37,765 | 26,940 |
| 7020 其他利益及損失 | 86,934 | 76,483 |
| 7050 財務成本 | 4,535 | 3,834 |
| 7060 採用權益法認列之關聯企業及合資損益之份額 | 29,948 | 20,116 |
| 7000 營業外收入及支出合計 | 154,896 | 129,829 |
| 7900 稅前淨利 | 3,169,571 | 2,416,690 |
| 7950 所得稅費用 | (601,536) | (487,793) |
| 8200 本期淨利 | $2,568,035 | $1,928,897 |

### Markdown表格格式
```markdown
| 项目 | 111年1月至3月31日 | 110年1月至3月31日 |
|------|------------------|------------------|
| 4000 營業收入 | $16,119,517 | $13,161,403 |
| 5000 營業成本 | (9,962,306) | (7,952,766) |
| 5950 營業毛利淨額 | 6,157,211 | 5,208,637 |
| 6100 推銷費用 | (1,307,670) | (1,197,300) |
| 6200 管理費用 | (701,599) | (669,818) |
| 6300 研究發展費用 | (1,122,758) | (1,046,693) |
| 6450 預期信用減損損失 | (10,509) | - |
| 6000 營業費用合計 | (3,142,536) | (2,921,776) |
| 6900 營業利益 | 3,014,675 | 2,286,861 |
| 營業外收入及支出 | | |
| 7100 利息收入 | 4,784 | 10,124 |
| 7010 其他收入 | 37,765 | 26,940 |
| 7020 其他利益及損失 | 86,934 | 76,483 |
| 7050 財務成本 | 4,535 | 3,834 |
| 7060 採用權益法認列之關聯企業及合資損益之份額 | 29,948 | 20,116 |
| 7000 營業外收入及支出合計 | 154,896 | 129,829 |
| 7900 稅前淨利 | 3,169,571 | 2,416,690 |
| 7950 所得稅費用 | (601,536) | (487,793) |
| 8200 本期淨利 | $2,568,035 | $1,928,897 |
```
