### 财务报告分析

#### 1. 现金流量表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 现金流量表 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 2. 资产负债表

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 资产 | $ 1,777 | $ 1,750 | $ 2,137 |
| 负债 | 25,699,639 | 33,243,220 | 39,578,483 |
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 3. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 4. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 5. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 6. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 7. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 8. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 9. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 10. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 11. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 12. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 13. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 14. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 15. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 16. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 17. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 18. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

#### 19. 财务报表附注

| 项目 | 112年3月31日 | 111年12月31日 | 111年3月31日 |
|------|--------------|---------------|--------------|
| 总计 | $ 77,674,551 | $ 91,065,529 | $ 68,517,225 |

