### 财务报告表格数据输出

#### 子公司

| 投资公司名称 | 子公司名称 | 子公司名称 | 业务性质 | 持股比例（%） | 112年3月31日 | 111年12月31日 | 111年3月31日 | 说明 |
|--------------|------------|------------|------------|----------------|--------------|--------------|--------------|------|
| 本 公 司      | 台湾通运仓储股份有限公司（台湾通运公司） | 储运运输及砂石买卖 | 83.9 | 83.9 | 83.9 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 信昌投资股份有限公司（信昌投资公司） | 投资事业 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 光和耐火工业股份有限公司（光和耐火公司） | 耐火材料制造 | 95.3 | 95.3 | 95.3 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | Hong Kong Cement Manufacturing Co., Ltd. (HKCMCL) | 投资控股 | 84.7 | 84.7 | 84.7 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 達和航運股份有限公司（達和航運公司） | 航運承揽 | 64.8 | 64.8 | 64.8 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 台灣士敏工程股份有限公司（台灣士敏公司） | 工程技術服務 | 99.3 | 99.2 | 99.2 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 台泥綠能股份有限公司（台泥綠能公司） | 再生能源發電 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 台泥再生資源股份有限公司（台泥再生資源公司） | 不動產租賃及能源技術服務業 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 台泥資訊股份有限公司（台泥資訊公司） | 資訊軟體設計 | 99.4 | 99.4 | 99.4 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 東成石礦股份有限公司（東成石礦公司） | 石灰石買賣及礦區造林 | - | 99.5 | 99.5 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 金昌石礦股份有限公司（金昌石礦公司） | 石灰石買賣及礦區造林 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 和平工業區專用港實業股份有限公司（和平港公司） | 和平工業區專用港之经营管理 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | TCC International Ltd. (TCCI) | 投资控股 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 和平電力股份有限公司（和平電力公司） | 火力發電 | 59.5 | 59.5 | 59.5 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 英屬維京群島商和平企業经营管理顧問股份有限公司（和平營管公司） | 企業顧問輔導 | 60.0 | 60.0 | 60.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 萬青水泥股份有限公司（萬青水泥公司） | 水泥買賣 | 50.6 | 50.6 | 50.6 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 鳳勝實業股份有限公司（鳳勝實業公司） | 預拌混凝土買賣 | 45.4 | 45.4 | 45.4 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | Trans Philippines Mineral Corp. (TPMC) | 採 矿 | 40.0 | 40.0 | 40.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | Taicorn Minerals Corp. (TMC) | 採 矿 | 72.7 | 72.7 | 72.7 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 達榮環保股份有限公司（達榮環保公司） | 廢棄物之清除及處理 | 66.6 | 66.6 | 66.6 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 合盛礦業股份有限公司（合盛礦業公司） | 開採及買賣礦石 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | TCC International Holdings Ltd. (TCCIH) | 投资控股 | 45.5 | 45.5 | 41.8 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | Taiwan Cement (Dutch) Holdings B.V. (TCC Dutch) | 投资控股 | 82.5 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 台泥永續能源投資股份有限公司 | 投资控股 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 台泥儲能科技股份有限公司 | 儲能設備製造、生產及銷售相關業務 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 妙善循環科技股份有限公司 | 廢棄物之清除及處理 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0 |
| 本 公 司      | 台泥循環能源科技股份有限公司（台泥循環能源公司） | 投资控股 | 36.7 | 36.6 | 36.6 | 100.0 | 100.0 | 100.0 |
| 台灣通運公司 | 萬青水泥公司 | 水泥買賣 | 49.4 | 
