### 财务报告

#### 海外无担保可转换公司债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 海外无担保可转换公司债 | $ 22,200,000 | $ 22,200,000 | $ 22,200,000 |
| 减：公司债折价 | (1,150,159) | (1,414,553) | (1,502,902) |
| 减：一年内到期 | 21,049,841 | 20,785,447 | 20,697,098 |
| 减：一年内到期 | (21,049,841) | (20,785,447) | - |
| 总计 | $ 68,840,993 | $ 72,136,574 | $ 89,535,110 |

#### 国内无担保普通公司债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 国内无担保普通公司债 | $ 22,200,000 | $ 22,200,000 | $ 22,200,000 |
| 减：公司债折价 | (1,150,159) | (1,414,553) | (1,502,902) |
| 减：一年内到期 | 21,049,841 | 20,785,447 | 20,697,098 |
| 减：一年内到期 | (21,049,841) | (20,785,447) | - |
| 总计 | $ 68,840,993 | $ 72,136,574 | $ 89,535,110 |

### 财务报告

#### 海外无担保可转换公司债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 海外无担保可转换公司债 | $ 22,200,000 | $ 22,200,000 | $ 22,200,000 |
| 减：公司债折价 | (1,150,159) | (1,414,553) | (1,502,902) |
| 减：一年内到期 | 21,049,841 | 20,785,447 | 20,697,098 |
| 减：一年内到期 | (21,049,841) | (20,785,447) | - |
| 总计 | $ 68,840,993 | $ 72,136,574 | $ 89,535,110 |

#### 国内无担保普通公司债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 国内无担保普通公司债 | $ 22,200,000 | $ 22,200,000 | $ 22,200,000 |
| 减：公司债折价 | (1,150,159) | (1,414,553) | (1,502,902) |
| 减：一年内到期 | 21,049,841 | 20,785,447 | 20,697,098 |
| 减：一年内到期 | (21,049,841) | (20,785,447) | - |
| 总计 | $ 68,840,993 | $ 72,136,574 | $ 89,535,110 |

### 财务报告

#### 海外无担保可转换公司债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 海外无担保可转换公司债 | $ 22,200,000 | $ 22,200,000 | $ 22,200,000 |
| 减：公司债折价 | (1,150,159) | (1,414,553) | (1,502,902) |
| 减：一年内到期 | 21,049,841 | 20,785,447 | 20,697,098 |
| 减：一年内到期 | (21,049,841) | (20,785,447) | - |
| 总计 | $ 68,840,993 | $ 72,136,574 | $ 89,535,110 |

#### 国内无担保普通公司债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 国内无担保普通公司债 | $ 22,200,000 | $ 22,200,000 | $ 22,200,000 |
| 减：公司债折价 | (1,150,159) | (1,414,553) | (1,502,902) |
| 减：一年内到期 | 21,049,841 | 20,785,447 | 20,697,098 |
| 减：一年内到期 | (21,049,841) | (20,785,447) | - |
| 总计 | $ 68,840,993 | $ 72,136,574 | $ 89,535,110 |

### 财务报告

#### 海外无担保可转换公司债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 海外无担保可转换公司债 | $ 22,200,000 | $ 22,200,000 | $ 22,200,000 |
| 减：公司债折价 | (1,150,159) | (1,414,553) | (1,502,902) |
| 减：一年内到期 | 21,049,841 | 20,785,447 | 20,697,098 |
| 减：一年内到期 | (21,049,841) | (20,785,447) | - |
| 总计 | $ 68,840,993 | $ 72,136,574 | $ 89,535,110 |

#### 国内无担保普通公司债

| 项目 | 112年9月30日 | 111年12月31日 | 111年9月30日 |
|------|--------------|---------------|--------------|
| 国内无担保普通公司债 | $ 22,200,000 | $ 22,20
