### 财务报告

#### 金融负债 - 流动

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 持有供交易 | $ 3,452 | $ - | $ 3,529 |
| 预售远期外汇 | 美金兑新台币 | 111.03~111.05 | USD 6,770/NTD 190,201 |
| 预售远期外汇 | 美金兑新台币 | 110.12~111.02 | USD 6,100/NTD 169,221 |
| 预售远期外汇 | 美金兑新台币 | 110.04~110.06 | USD 1,730/NTD 48,453 |

#### 透过其他综合损益按公允价值衡量之金融资产

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 国内投资 | $ 5,683,629 | $ 6,173,813 | $ 5,696,250 |
| 上市（柜）股票 | $ 5,683,629 | $ 6,173,813 | $ 5,696,250 |
| 购买及未上市（柜）股票 | 39,478 | 40,018 | 28,047 |
| 公司债 | 14,327 | 14,762 | 35,964 |
| 总计 | $ 5,737,434 | $ 6,228,593 | $ 5,760,261 |

#### 金融负债 - 流动

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 持有供交易 | $ 3,452 | $ - | $ 3,529 |
| 预售远期外汇 | 美金兑新台币 | 111.03~111.05 | USD 6,770/NTD 190,201 |
| 预售远期外汇 | 美金兑新台币 | 110.12~111.02 | USD 6,100/NTD 169,221 |
| 预售远期外汇 | 美金兑新台币 | 110.04~110.06 | USD 1,730/NTD 48,453 |

#### 透过其他综合损益按公允价值衡量之金融资产

| 项目 | 111年3月31日 | 110年12月31日 | 110年3月31日 |
|------|--------------|---------------|--------------|
| 国内投资 | $ 5,683,629 | $ 6,173,813 | $ 5,696,250 |
| 上市（柜）股票 | $ 5,683,629 | $ 6,173,813 | $ 5,696,250 |
| 购买及未上市（柜）股票 | 39,478 | 40,018 | 28,047 |
| 公司债 | 14,327 | 14,762 | 35,964 |
| 总计 | $ 5,737,434 | $ 6,228,593 | $ 5,760,261 |
