### 财务报告

#### 投资公司名称
| 投资公司名称 | 子公司名称 | 持股比例 | 说明 |
|--------------|------------|----------|------|
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台泥（英德）水泥有限公司 | 英德台泥矿业工程有限公司 | 34.8% |  |
| 台
