### 110年12月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 避險之金融資產 | | | | |
| 遠期外匯合約 | $ - | $ 225 | $ - | $ 225 |
| 避險之金融負債 | | | | |
| 利率交換合約 | $ - | $ 85,312 | $ - | $ 85,312 |
| 遠期外匯合約 | - | $ 92,888 | - | $ 92,888 |
| 合計 | $ - | $ 178,200 | $ - | $ 178,200 |

### 110年3月31日

| 项目 | 第1等級 | 第2等級 | 第3等級 | 合計 |
|------|----------|----------|----------|------|
| 透過損益按公允價值衡量之金融資產 | | | | |
| 基金受益憑證 | $ 5,849,616 | $ - | $ - | $ 5,849,616 |
| 未上市（櫃）股票 | - | - | $ 925,769 | $ 925,769 |
| 興櫃股票 | - | - | $ 189,773 | $ 189,773 |
| 上市（櫃）股票 | $ 436,534 | - | - | $ 436,534 |
| 可轉換公司債 | $ 81,097 | - | - | $ 81,097 |
| 合計 | $ 6,367,247 | $ - | $ 1,115,542 | $ 7,482,789 |
| 透過損益按公允價值衡量之金融負債 | | | | |
| 遠期外匯合約 | $ - | $ 3,529 | $ - | $ 3,529 |
| 透過其他綜合損益按公允價值衡量之金融資產 | | | | |
| 國外未上市股票及權利證書 | $ - | $ - | $ 39,468,929 | $ 39,468,929 |
| 國內上市（櫃）股票 | $ 16,196,085 | - | - | $ 16,196,085 |
| 國內興櫃及未上市（櫃）股票 | - | - | $ 2,540,452 | $ 2,540,452 |
| 國外上市股票 | $ 2,621,895 | - | - | $ 2,621,895 |
| 公司債 | $ 35,964 | - | - | $ 35,964 |
| 合計 | $ 18,853,944 | $ - | $ 42,009,381 | $ 60,863,325 |
| 避險之金融資產 | | | | |
| 遠期外匯合約 | $ - | $ 8,878 | $ - | $ 8,878 |
| 避險之金融負債 | | | | |
| 遠期外匯合約 | $ - | $ 24,460 | $ - | $ 24,460 |

### 111及110年1月1日至3月31日無第1等級與第2等級公允價值衡量間移轉之情形。
